,ID,EXCLUDE,DEFINE,CLASS,FUNC,FORM,BW,VARIANT,GLOSS,FEAT,COND-T,COND-S,D3,EXAMPLE-ENC,EXAMPLE-SUFF,EXAMPLE-BUFF,EXAMPLE-STEM,COMMENTS
0,Condition Definitions,,,,,,,,,,,,,,,,,
1,1,,CONDITIONS,[LEMMA],Frozen,,,,,,,,,,,,,
2,2,,CONDITIONS,[STEM-X],#-}iy #->ay #-A' #-a> #-aA #-aw #-ay #-aY #-ay-A #-i} #-iy #-iy' #-u& #-uw #-uw' #A-' #n #t,,,,,,,,,,,,,
3,3,,CONDITIONS,[X-ROOT],hollow defective gem hamzated ,,,,,,,,,,,,,
4,4,,CONDITIONS,[X-TRANS],intrans trans ditrans,,,,,,,,,,,,,
5,5,,CONDITIONS,[X-STEM],>-# >-a# >-o#,,,,,,,,,,,,,
6,6,,CONDITIONS,[PREF-X],a-# u-# ,,,,,,,,,,,,,
7,7,,CONDITIONS,[X-PREF],h-pref,,,,,,,,,,,,,
8,8,,CONDITIONS,[X-SUFF.PHONE],c-suff v-suff n-suff,,,,,,,,,,,,,
9,9,,CONDITIONS,[X-SUFF.LETTER],A-suff w-suff y-suff z-suff,,,,,,,,,,,,,
10,10,,CONDITIONS,[X-SUFF.PHONE.V],u-suff a-suff i-suff,,,,,,,,,,,,,
11,11,,CONDITIONS,[SUFF-X],#^i #^iy,,,,,,,,,,,,,
12,12,,CONDITIONS,[PRON-X],enc0#^i,,,,,,,,,,,,,
13,13,,CONDITIONS,[PRON:X],enc0:1* enc0:2*,,,,,,,,,,,,,
14,14,,CONDITIONS,[PRON:*],enc0,,,,,,,,,,,,,
15,15,,CONDITIONS,[PRON2:X],enc1:1* enc1:2*,,,,,,,,,,,,,
16,16,,CONDITIONS,[PRON2:*],enc1,,,,,,,,,,,,,
17,Proclitics (3),,,,,,,,,,,,,,,,,
18,17,,MORPH,[QUES],_,_,_,MSA,_,prc3:0,_,_,_,,,,قرأت,
19,18,,MORPH,[QUES],>a/PART_INTERROG,>a,>a/INTERROG_PART,MSA,is/are,prc3:>a_ques,_,_,>a+_,,,,أقرأت ؟,
20,Proclitics (2),,,,,,,,,,,,,,,,,
21,19,,MORPH,[CONJ],_,_,_,MSA,_,prc2:0,_,_,_,,,,قرأت,
22,20,RED,MORPH,[CONJ],fa/CONJ,fa,fa/CONJ,MSA,so/and,prc2:fa_conj,_,_,fa+_,,,,فقرأت,
23,21,RED,MORPH,[CONJ],fa/PART_CONNECT,fa,fa/CONNEC_PART,MSA,so/then,prc2:fa_conn,_,_,fa+_,,,,فقرأت,
24,22,RED,MORPH,[CONJ],fa/PART_RC,fa,fa/RC_PART,MSA,so/then,prc2:fa_rc,_,_,fa+_,,,,فقرأت,
25,23,RED,MORPH,[CONJ],fa/CONJ_SUB,fa,fa/SUB_CONJ,MSA,because/therefore/as_a_result,prc2:fa_sub,_,_,fa+_,,,,فقرأت,
26,24,,MORPH,[CONJ],wa/CONJ,wa,wa/CONJ,MSA,and,prc2:wa_conj,_,_,wa+_,,,,وقرأت,
27,25,RED,MORPH,[CONJ],wa/PART,wa,wa/PART,MSA,[part.],prc2:wa_part,_,_,wa+_,,,,وقرأت,
28,26,RED,MORPH,[CONJ],wa/SUB_CONJ,wa,wa/SUB_CONJ,MSA,while,prc2:wa_sub,_,_,wa+_,,,,وقرأت,
29,Proclitics (1),,,,,,,,,,,,,,,,,
30,27,,MORPH,[VPART.P],_,_,_,MSA,_,prc1:0,_,_,_,,,,قرأت,
31,28,,MORPH,[VPART.P],la/PART_RC,la,la/RC_PART,MSA,then,prc1:la_rc,_,_,la+_,,,,لقرأت,
32,29,,MORPH,[VPART.I],_,_,_,MSA,_,prc1:0,_,_,_,,,,يقرأ,
33,30,,MORPH,[VPART.I],sa/PART_FUT,sa,sa/FUT_PART,MSA,will,prc1:sa_fut,_,_,sa+_,,,,سيقرأ,
34,31,,MORPH,[VPART.J],_,_,_,MSA,_,prc1:0,_,_,_,,,,يقرأ,
35,32,,MORPH,[VPART.J],li/PART_JUS,li,li/JUS_PART,MSA,should,prc1:li_jus,_,_,li+_,,,,ليقرأ,
36,33,,MORPH,[VPART.S],_,_,_,MSA,_,prc1:0,_,_,_,,,,يقرأ,
37,34,,MORPH,[VPART.S],la/PART_EMPHATIC,la,la/EMPHATIC_PART,MSA,indeed/truly,prc1:la_emph,_,_,la+_,,,,ليقرأ,
38,35,,MORPH,[VPART.S],li/CONJ_SUB,li,li/SUB_CONJ,MSA,in_order_(to)/so_(that)/for,prc1:li_sub,_,_,li+_,,,,ليقرأ,
39,36,,MORPH,[VPART.E],_,_,_,MSA,_,prc1:0,_,_,_,,,,ليقرأ,
40,37,,MORPH,[VPART.E],la/PART_EMPHATIC,la,la/EMPHATIC_PART,MSA,indeed/truly,prc1:la_emph,_,_,la+_,,,,ليقرأن,
41,Perfective Verb Post-Stem Buffers,,,,,,,,,,,,,,,,,
42,38,,MORPH,[PVBuff],Buffer,a>,a>/STEM,MSA,,,#-a> else,_,a>,,تُ، نا، تَِ، تم، تما، تنّ، ∅، ت، تا، نَ,أ +,قر +,
43,39,,MORPH,[PVBuff],Buffer,a|,a|/STEM,MSA,,,#-a> A-suff,_,a|,,∅,آ +,قر +,
