,PATTERN_ABS,PATTERN_DEF,ROOT,ROOT_SUB,DEFINE,CLASS,PATTERN,LEMMA,LEMMA_SUB,FORM,FORM_SUB,BW,BW_SUB,GLOSS,FEAT,COND-T,COND-F,COND-S,MATCH,COMMENTS,STATUS
0,1a2a3,|3,>.w.3,>.w.\1,BACKOFF,[STEM-IV],&u3,lex:|3,lex:|\1,&u3,&u\1,&u3/IV,&u\1/IV,na,pos:verb asp:i vox:a gen:_ num:_,c-suff,,a-# trans,^&([^wyA}&])$,4,
1,1a2a3,|3,>.w.3,>.w.\1,BACKOFF,[STEM-IV],&uw3,lex:|3,lex:|\1,&uw3,&uw\1,&uw3/IV,&uw\1/IV,na,pos:verb asp:i vox:a gen:_ num:_,v-suff,,a-# trans,^&w([^wyA}&])$,4,
2,1A2a3,|2aY,>.2.y,>.\1.y,BACKOFF,[STEM-IV],&A2,lex:|2aY,lex:|\1aY,&A2,&A\1,&A2/IV,&A\1/IV,na,pos:verb asp:i vox:a gen:_ num:_,,,#-iy trans u-#,^&A([^wyA}&])$,5,
3,1A2a3,|2a3,>.2.3,>.\1.\2,BACKOFF,[STEM-IV],2i3,lex:|2a3,lex:|\1a\2,2i3,\1i\2,2i3/IV,\1i\2/IV,na,pos:verb asp:i vox:a gen:_ num:_,,,>-# trans u-#,^([^wyA}&])([^nwyA}&])$,9,
4,1A2a3,|2a3,>.2.3,>.\1.\2,BACKOFF,[STEM-IV],&A2i3,lex:|2a3,lex:|\1a\2,&A2i3,&A\1i\2,&A2i3/IV,&A\1i\2/IV,na,pos:verb asp:i vox:a gen:_ num:_,,,trans u-#,^&A([^wyA}&])([^nwyA}&])$,7,
5,1A2a3,|2aY,>.2.w,>.\1.w,BACKOFF,[STEM-IV],&A2,lex:|2aY,lex:|\1aY,&A2,&A\1,&A2/IV,&A\1/IV,na,pos:verb asp:i vox:a gen:_ num:_,,,#-iy trans u-#,^&A([^wyA}&])$,1,
6,1A2a3,|2a3,>.2.n,>.\1.n,BACKOFF,[STEM-IV],2i3,lex:|2an,lex:|\1an,2in,\1in,2in/IV,\1in/IV,na,pos:verb asp:i vox:a gen:_ num:_,,,#n >-# trans u-#,^([^wyA}&])n$,2,
7,1a2a3,|3,>.y.3,>.y.\1,BACKOFF,[STEM-IV],}i3,lex:|3,lex:|\1,}i3,}i\1,}i3/IV,}i\1/IV,na,pos:verb asp:i vox:a gen:_ num:_,c-suff,,a-# trans,^}([^wyA}&])$,2,
8,1a2a3,|3,>.y.3,>.y.\1,BACKOFF,[STEM-IV],}iy3,lex:|3,lex:|\1,}iy3,}iy\1,}iy3/IV,}iy\1/IV,na,pos:verb asp:i vox:a gen:_ num:_,v-suff,,a-# trans,^}y([^wyA}&])$,2,
9,1a2a3,|3,>.w.3,>.w.\1,BACKOFF,[STEM-IV],&u3,lex:|3,lex:|\1,&u3,&u\1,&u3/IV,&u\1/IV,na,pos:verb asp:i vox:a gen:_ num:_,c-suff,,#n a-# trans,^&([^wyA}&])$,1,
