SIGNATURE	LEMMA	DIAC	QC	COMMENTS	STATUS
VERB.I1S.AS	taDam~an	>ataDam~ana	OK		
VERB.I1P.AS	taDam~an	nataDam~ana	OK		
VERB.I2MS.AS	taDam~an	tataDam~ana	OK		
VERB.I2FS.AS	taDam~an	tataDam~aniy	OK		
VERB.I2D.AS	taDam~an	tataDam~anA	OK		
VERB.I2MP.AS	taDam~an	tataDam~anuwA	OK		
VERB.I2FP.AS	taDam~an	tataDam~an~a	OK		
VERB.I3MS.AS	taDam~an	yataDam~ana	OK		
VERB.I3FS.AS	taDam~an	tataDam~ana	OK		
VERB.I3MD.AS	taDam~an	yataDam~anA	OK		
VERB.I3FD.AS	taDam~an	tataDam~anA	OK		
VERB.I3MP.AS	taDam~an	yataDam~anuwA	OK		
VERB.I3FP.AS	taDam~an	yataDam~an~a	OK		
VERB.I1S.PS	taDam~an	>utaDam~ana	OK		
VERB.I1P.PS	taDam~an	nutaDam~ana	OK		
VERB.I2MS.PS	taDam~an	tutaDam~ana	OK		
VERB.I2FS.PS	taDam~an	tutaDam~aniy	OK		
VERB.I2D.PS	taDam~an	tutaDam~anA	OK		
VERB.I2MP.PS	taDam~an	tutaDam~anuwA	OK		
VERB.I2FP.PS	taDam~an	tutaDam~an~a	OK		
VERB.I3MS.PS	taDam~an	yutaDam~ana	OK		
VERB.I3FS.PS	taDam~an	tutaDam~ana	OK		
VERB.I3MD.PS	taDam~an	yutaDam~anA	OK		
VERB.I3FD.PS	taDam~an	tutaDam~anA	OK		
VERB.I3MP.PS	taDam~an	yutaDam~anuwA	OK		
VERB.I3FP.PS	taDam~an	yutaDam~an~a	OK		
VERB.I1S.AS.E0	taDam~an	>ataDam~anahu	OK		
VERB.I1P.AS.E0	taDam~an	nataDam~anahu	OK		
VERB.I2MS.AS.E0	taDam~an	tataDam~anahu	OK		
VERB.I2FS.AS.E0	taDam~an	tataDam~aniyhi	OK		
VERB.I2D.AS.E0	taDam~an	tataDam~anAhu	OK		
VERB.I2MP.AS.E0	taDam~an	tataDam~anuwhu	OK		
VERB.I2FP.AS.E0	taDam~an	tataDam~an~ahu	OK		
VERB.I3MS.AS.E0	taDam~an	yataDam~anahu	OK		
VERB.I3FS.AS.E0	taDam~an	tataDam~anahu	OK		
VERB.I3MD.AS.E0	taDam~an	yataDam~anAhu	OK		
VERB.I3FD.AS.E0	taDam~an	tataDam~anAhu	OK		
VERB.I3MP.AS.E0	taDam~an	yataDam~anuwhu	OK		
VERB.I3FP.AS.E0	taDam~an	yataDam~an~ahu	OK		
VERB.I1S.PS.E0	taDam~an		OK		
VERB.I1P.PS.E0	taDam~an		OK		
VERB.I2MS.PS.E0	taDam~an		OK		
VERB.I2FS.PS.E0	taDam~an		OK		
VERB.I2D.PS.E0	taDam~an		OK		
VERB.I2MP.PS.E0	taDam~an		OK		
VERB.I2FP.PS.E0	taDam~an		OK		
VERB.I3MS.PS.E0	taDam~an		OK		
VERB.I3FS.PS.E0	taDam~an		OK		
VERB.I3MD.PS.E0	taDam~an		OK		
VERB.I3FD.PS.E0	taDam~an		OK		
VERB.I3MP.PS.E0	taDam~an		OK		
VERB.I3FP.PS.E0	taDam~an		OK		
VERB.I1S.AS	tam~-i	>atim~a	OK		
VERB.I1P.AS	tam~-i	natim~a	OK		
VERB.I2MS.AS	tam~-i	tatim~a	OK		
VERB.I2FS.AS	tam~-i	tatim~iy	OK		
VERB.I2D.AS	tam~-i	tatim~A	OK		
VERB.I2MP.AS	tam~-i	tatim~uwA	OK		
VERB.I2FP.AS	tam~-i	tatomimna	OK		
VERB.I3MS.AS	tam~-i	yatim~a	OK		
VERB.I3FS.AS	tam~-i	tatim~a	OK		
VERB.I3MD.AS	tam~-i	yatim~A	OK		
VERB.I3FD.AS	tam~-i	tatim~A	OK		
VERB.I3MP.AS	tam~-i	yatim~uwA	OK		
VERB.I3FP.AS	tam~-i	yatomimna	OK		
VERB.I1S.PS	tam~-i	>utam~a	OK		
VERB.I1P.PS	tam~-i	nutam~a	OK		
VERB.I2MS.PS	tam~-i	tutam~a	OK		
VERB.I2FS.PS	tam~-i	tutam~iy	OK		
VERB.I2D.PS	tam~-i	tutam~A	OK		
VERB.I2MP.PS	tam~-i	tutam~uwA	OK		
VERB.I2FP.PS	tam~-i	tutomamna	OK		
VERB.I3MS.PS	tam~-i	yutam~a	OK		
VERB.I3FS.PS	tam~-i	tutam~a	OK		
VERB.I3MD.PS	tam~-i	yutam~A	OK		
VERB.I3FD.PS	tam~-i	tutam~A	OK		
VERB.I3MP.PS	tam~-i	yutam~uwA	OK		
VERB.I3FP.PS	tam~-i	yutomamna	OK		
VERB.I1S.AS.E0	tam~-i		OK		
VERB.I1P.AS.E0	tam~-i		OK		
VERB.I2MS.AS.E0	tam~-i		OK		
VERB.I2FS.AS.E0	tam~-i		OK		
VERB.I2D.AS.E0	tam~-i		OK		
VERB.I2MP.AS.E0	tam~-i		OK		
VERB.I2FP.AS.E0	tam~-i		OK		
VERB.I3MS.AS.E0	tam~-i		OK		
VERB.I3FS.AS.E0	tam~-i		OK		
VERB.I3MD.AS.E0	tam~-i		OK		
VERB.I3FD.AS.E0	tam~-i		OK		
