SIGNATURE	LEMMA	DIAC	QC	COMMENTS	STATUS
VERB.C1S.AE	xAf-a		OK		
VERB.C1P.AE	xAf-a		OK		
VERB.C2MS.AE	xAf-a	xAfano	OK		
VERB.C2FS.AE	xAf-a	xAfino	OK		
VERB.C2D.AE	xAf-a	xAfAn~i	OK		
VERB.C2MP.AE	xAf-a	xAfuno	OK		
VERB.C2FP.AE	xAf-a	xafnAn~i	OK		
VERB.C3MS.AE	xAf-a		OK		
VERB.C3FS.AE	xAf-a		OK		
VERB.C3MD.AE	xAf-a		OK		
VERB.C3FD.AE	xAf-a		OK		
VERB.C3MP.AE	xAf-a		OK		
VERB.C3FP.AE	xAf-a		OK		
VERB.C1S.PE	xAf-a		OK		
VERB.C1P.PE	xAf-a		OK		
VERB.C2MS.PE	xAf-a		OK		
VERB.C2FS.PE	xAf-a		OK		
VERB.C2D.PE	xAf-a		OK		
VERB.C2MP.PE	xAf-a		OK		
VERB.C2FP.PE	xAf-a		OK		
VERB.C3MS.PE	xAf-a		OK		
VERB.C3FS.PE	xAf-a		OK		
VERB.C3MD.PE	xAf-a		OK		
VERB.C3FD.PE	xAf-a		OK		
VERB.C3MP.PE	xAf-a		OK		
VERB.C3FP.PE	xAf-a		OK		
VERB.C1S.AE.E0	xAf-a		OK		
VERB.C1P.AE.E0	xAf-a		OK		
VERB.C2MS.AE.E0	xAf-a	xAfanohu	OK		
VERB.C2FS.AE.E0	xAf-a	xAfinohu	OK		
VERB.C2D.AE.E0	xAf-a	xAfAn~ihi	OK		
VERB.C2MP.AE.E0	xAf-a	xAfunohu	OK		
VERB.C2FP.AE.E0	xAf-a	xafnAn~ihi	OK		
VERB.C3MS.AE.E0	xAf-a		OK		
VERB.C3FS.AE.E0	xAf-a		OK		
VERB.C3MD.AE.E0	xAf-a		OK		
VERB.C3FD.AE.E0	xAf-a		OK		
VERB.C3MP.AE.E0	xAf-a		OK		
VERB.C3FP.AE.E0	xAf-a		OK		
VERB.C1S.PE.E0	xAf-a		OK		
VERB.C1P.PE.E0	xAf-a		OK		
VERB.C2MS.PE.E0	xAf-a		OK		
VERB.C2FS.PE.E0	xAf-a		OK		
VERB.C2D.PE.E0	xAf-a		OK		
VERB.C2MP.PE.E0	xAf-a		OK		
VERB.C2FP.PE.E0	xAf-a		OK		
VERB.C3MS.PE.E0	xAf-a		OK		
VERB.C3FS.PE.E0	xAf-a		OK		
VERB.C3MD.PE.E0	xAf-a		OK		
VERB.C3FD.PE.E0	xAf-a		OK		
VERB.C3MP.PE.E0	xAf-a		OK		
VERB.C3FP.PE.E0	xAf-a		OK		
VERB.C1S.AE	qay~al		OK		
VERB.C1P.AE	qay~al		OK		
VERB.C2MS.AE	qay~al	qay~ilano	OK		
VERB.C2FS.AE	qay~al	qay~ilino	OK		
VERB.C2D.AE	qay~al	qay~ilAn~i	OK		
VERB.C2MP.AE	qay~al	qay~iluno	OK		
