LINE	STATUS	COUNT	SIGNATURE	LEMMA	DIAC_AR	DIAC	FREQ	QC	COMMENTS	PATTERN	STEM	BW	GLOSS	COND-S	COND-T	PREF-CAT	STEM-CAT	SUFF-CAT	FEATS	DEBUG	COLOR
1	OK-ONE	1	VERB.I1S.AI	|b-u	أَؤُوبُ	>a&uwbu	288			>aAo3	[&Ab][&uwb][&ab][&ub]	>/IV1S+a/STEM+&uwb/IV+u/IVSUFF_SUBJ:1S_MOOD:I	return	[a-# trans][a-# trans][intrans u-#][intrans u-#]	[c-suff][c-suff][v-suff][v-suff]	P:[I1S.I]_[CS:h-pref]_[CT:a-#]_[CF:>-#]	X:[I]_[CS:a-#+trans]_[CT:a-#+v-suff]_[CF:#->ay+#-A'+#-a>+#-aA+#-aY+#-iy+#-iy'+#-u&+#-uw+#-uw'+#-}iy+>-#+u-#]	S:[I1S.I]_[CS:u-suff+v-suff+z-suff]_[CT:-]_[CF:#-aY||#-uw||#-aA||#->ay+#-iy||#-}iy]	pos:verb asp:i vox:a per:1 gen:u num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	XVox0 PP0 M0 OK FSE0 PS0	0
2	OK-ONE	1	VERB.I1P.AI	|b-u	نَؤُوبُ	na&uwbu	288			>aAo3	[&Ab][&uwb][&ab][&ub]	n/IV1P+a/STEM+&uwb/IV+u/IVSUFF_SUBJ:1P_MOOD:I	return	[a-# trans][a-# trans][intrans u-#][intrans u-#]	[c-suff][c-suff][v-suff][v-suff]	P:[I1P.I]_[CS:-]_[CT:-]_[CF:enc0:1*]	X:[I]_[CS:a-#+trans]_[CT:a-#+v-suff]_[CF:#->ay+#-A'+#-a>+#-aA+#-aY+#-iy+#-iy'+#-u&+#-uw+#-uw'+#-}iy+>-#+u-#]	S:[I1P.I]_[CS:u-suff+v-suff+z-suff]_[CT:-]_[CF:#-aY||#-uw||#-aA||#->ay+#-iy||#-}iy]	pos:verb asp:i vox:a per:1 gen:u num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	XVox0 PP0 M0 OK FSE0 PS0	1
3	OK-ONE	1	VERB.I2MS.AI	|b-u	تَؤُوبُ	ta&uwbu	288			>aAo3	[&Ab][&uwb][&ab][&ub]	t/IV2MS+a/STEM+&uwb/IV+u/IVSUFF_SUBJ:2MS_MOOD:I	return	[a-# trans][a-# trans][intrans u-#][intrans u-#]	[c-suff][c-suff][v-suff][v-suff]	P:[I2MS.I]_[CS:-]_[CT:-]_[CF:enc0:2*]	X:[I]_[CS:a-#+trans]_[CT:a-#+v-suff]_[CF:#->ay+#-A'+#-a>+#-aA+#-aY+#-iy+#-iy'+#-u&+#-uw+#-uw'+#-}iy+>-#+u-#]	S:[I2MS.I]_[CS:u-suff+v-suff+z-suff]_[CT:-]_[CF:#-aY||#-uw||#-aA||#->ay+#-iy||#-}iy]	pos:verb asp:i vox:a per:2 gen:m num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	XVox0 PP0 M0 OK FSE0 PS0	0
4	OK-ONE	1	VERB.I2FS.AI	|b-u	تَؤُوبِينَ	ta&uwbiyna	288			>aAo3	[&Ab][&uwb][&ab][&ub]	t/IV2FS+a/STEM+&uwb/IV+iyna/IVSUFF_SUBJ:2FS_MOOD:I	return	[a-# trans][a-# trans][intrans u-#][intrans u-#]	[c-suff][c-suff][v-suff][v-suff]	P:[I2FS.I]_[CS:-]_[CT:-]_[CF:enc0:2*]	X:[I]_[CS:a-#+trans]_[CT:a-#+v-suff]_[CF:#->ay+#-A'+#-a>+#-aA+#-aY+#-iy+#-iy'+#-u&+#-uw+#-uw'+#-}iy+>-#+u-#]	S:[I2FS.I]_[CS:v-suff+y-suff]_[CT:-]_[CF:#-aY||#-aA||#->ay]	pos:verb asp:i vox:a per:2 gen:f num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	XVox0 PP0 M0 OK FSE0 PS0	1
5	OK-ONE	1	VERB.I2D.AI	|b-u	تَؤُوبانِ	ta&uwbAni	288			>aAo3	[&Ab][&uwb][&ab][&ub]	t/IV2D+a/STEM+&uwb/IV+Ani/IVSUFF_SUBJ:2D_MOOD:I	return	[a-# trans][a-# trans][intrans u-#][intrans u-#]	[c-suff][c-suff][v-suff][v-suff]	P:[I2D.I]_[CS:-]_[CT:-]_[CF:enc0:2*]	X:[I]_[CS:a-#+trans]_[CT:a-#+v-suff]_[CF:#->ay+#-A'+#-a>+#-aA+#-aY+#-iy+#-iy'+#-u&+#-uw+#-uw'+#-}iy+>-#+u-#]	S:[I2D.I]_[CS:#^i+A-suff+v-suff]_[CT:-]_[CF:#-a>]	pos:verb asp:i vox:a per:2 gen:u num:d mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	XVox0 PP0 M0 OK FSE0 PS0	0
6	OK-ONE	1	VERB.I2MP.AI	|b-u	تَؤُوبُونَ	ta&uwbuwna	288			>aAo3	[&Ab][&uwb][&ab][&ub]	t/IV2MP+a/STEM+&uwb/IV+uwna/IVSUFF_SUBJ:2MP_MOOD:I	return	[a-# trans][a-# trans][intrans u-#][intrans u-#]	[c-suff][c-suff][v-suff][v-suff]	P:[I2MP.I]_[CS:-]_[CT:-]_[CF:enc0:2*]	X:[I]_[CS:a-#+trans]_[CT:a-#+v-suff]_[CF:#->ay+#-A'+#-a>+#-aA+#-aY+#-iy+#-iy'+#-u&+#-uw+#-uw'+#-}iy+>-#+u-#]	S:[I2MP.I]_[CS:v-suff+w-suff]_[CT:-]_[CF:#-aY||#-aA||#->ay]	pos:verb asp:i vox:a per:2 gen:m num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	XVox0 PP0 M0 OK FSE0 PS0	1
7	OK-ONE	1	VERB.I2FP.AI	|b-u	تَؤُبنَ	ta&ubna	288			>aAo3	[&Ab][&uwb][&ab][&ub]	t/IV2FP+a/STEM+&ub/IV+na/IVSUFF_SUBJ:2FP_MOOD:I	return	[a-# trans][a-# trans][intrans u-#][intrans u-#]	[c-suff][c-suff][v-suff][v-suff]	P:[I2FP.I]_[CS:-]_[CT:-]_[CF:enc0:2*]	X:[I]_[CS:a-#+trans]_[CT:a-#+c-suff]_[CF:#->ay+#-A'+#-a>+#-aA+#-aY+#-iy+#-iy'+#-u&+#-uw+#-uw'+#-}iy+>-#+u-#]	S:[I2FP.I]_[CS:c-suff]_[CT:-]_[CF:#n]	pos:verb asp:i vox:a per:2 gen:f num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	XVox0 PP0 M0 OK FSE0 PS0	0
8	OK-ONE	1	VERB.I3MS.AI	|b-u	يَؤُوبُ	ya&uwbu	288			>aAo3	[&Ab][&uwb][&ab][&ub]	y/IV3MS+a/STEM+&uwb/IV+u/IVSUFF_SUBJ:3MS_MOOD:I	return	[a-# trans][a-# trans][intrans u-#][intrans u-#]	[c-suff][c-suff][v-suff][v-suff]	P:[I3MS.I]_[CS:-]_[CT:-]_[CF:-]	X:[I]_[CS:a-#+trans]_[CT:a-#+v-suff]_[CF:#->ay+#-A'+#-a>+#-aA+#-aY+#-iy+#-iy'+#-u&+#-uw+#-uw'+#-}iy+>-#+u-#]	S:[I3MS.I]_[CS:u-suff+v-suff+z-suff]_[CT:-]_[CF:#-aY||#-uw||#-aA||#->ay+#-iy||#-}iy]	pos:verb asp:i vox:a per:3 gen:m num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	XVox0 PP0 M0 OK FSE0 PS0	1
9	OK-ONE	1	VERB.I3FS.AI	|b-u	تَؤُوبُ	ta&uwbu	288			>aAo3	[&Ab][&uwb][&ab][&ub]	t/IV3FS+a/STEM+&uwb/IV+u/IVSUFF_SUBJ:3FS_MOOD:I	return	[a-# trans][a-# trans][intrans u-#][intrans u-#]	[c-suff][c-suff][v-suff][v-suff]	P:[I3FS.I]_[CS:-]_[CT:-]_[CF:-]	X:[I]_[CS:a-#+trans]_[CT:a-#+v-suff]_[CF:#->ay+#-A'+#-a>+#-aA+#-aY+#-iy+#-iy'+#-u&+#-uw+#-uw'+#-}iy+>-#+u-#]	S:[I3FS.I]_[CS:u-suff+v-suff+z-suff]_[CT:-]_[CF:#-aY||#-uw||#-aA||#->ay+#-iy||#-}iy]	pos:verb asp:i vox:a per:3 gen:f num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	XVox0 PP0 M0 OK FSE0 PS0	0
10	OK-ONE	1	VERB.I3MD.AI	|b-u	يَؤُوبانِ	ya&uwbAni	288			>aAo3	[&Ab][&uwb][&ab][&ub]	y/IV3MD+a/STEM+&uwb/IV+Ani/IVSUFF_SUBJ:3MD_MOOD:I	return	[a-# trans][a-# trans][intrans u-#][intrans u-#]	[c-suff][c-suff][v-suff][v-suff]	P:[I3MD.I]_[CS:-]_[CT:-]_[CF:-]	X:[I]_[CS:a-#+trans]_[CT:a-#+v-suff]_[CF:#->ay+#-A'+#-a>+#-aA+#-aY+#-iy+#-iy'+#-u&+#-uw+#-uw'+#-}iy+>-#+u-#]	S:[I3MD.I]_[CS:#^i+A-suff+v-suff]_[CT:-]_[CF:#-a>]	pos:verb asp:i vox:a per:3 gen:m num:d mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	XVox0 PP0 M0 OK FSE0 PS0	1
