LINE	STATUS	COUNT	SIGNATURE	LEMMA	DIAC_AR	DIAC	FREQ	QC	COMMENTS	PATTERN	STEM	BW	GLOSS	COND-S	COND-T	PREF-CAT	STEM-CAT	SUFF-CAT	FEATS	DEBUG	COLOR
1	OK-ONE	1	VERB.I1S.AI	jalas	اَجلِس	Aajlis	653			1a2a3	[jlis]	Aa/IV1S+jlis/IV+(null)/IVSUFF_SUBJ:1S	[MEERA]#to#sit+[KEV]#to#sit#down+[KEV]#to#sit#on,#e.g.,#a#chair,#at#a#table+to#sit#down	[intrans yi#]	[-]	P:[I1S]_[CS:h-pref]_[CT:h-pref]_[CF:yA#]	X:[I]_[CS:intrans+yi#]_[CT:-]_[CF:-]	S:[I1S]_[CS:n-suff+z-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-aY+#-iy+#-iy'+#-uw+#-uw']	pos:verb asp:i vox:a per:1 gen:u num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	PS0 M0 OK	0
2	OK-ONE	1	VERB.I1P.AI	jalas	نِجلِس	nijlis	653			1a2a3	[jlis]	n/IV1P+i/STEM+jlis/IV+(null)/IVSUFF_SUBJ:1P	[MEERA]#to#sit+[KEV]#to#sit#down+[KEV]#to#sit#on,#e.g.,#a#chair,#at#a#table+to#sit#down	[intrans yi#]	[-]	P:[I1P]_[CS:-]_[CT:yi#]_[CF:enc0:1*+h-pref+y#+yA#+ya#]	X:[I]_[CS:intrans+yi#]_[CT:-]_[CF:-]	S:[I1P]_[CS:n-suff+z-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-aY+#-iy+#-iy'+#-uw+#-uw']	pos:verb asp:i vox:a per:1 gen:u num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	PS0 M0 OK	1
3	OK-ONE	1	VERB.I2MS.AI	jalas	تِجلِس	tijlis	653			1a2a3	[jlis]	t/IV2MS+i/STEM+jlis/IV+(null)/IVSUFF_SUBJ:2MS	[MEERA]#to#sit+[KEV]#to#sit#down+[KEV]#to#sit#on,#e.g.,#a#chair,#at#a#table+to#sit#down	[intrans yi#]	[-]	P:[I2MS]_[CS:-]_[CT:yi#]_[CF:enc0:2*+h-pref+y#+yA#+ya#]	X:[I]_[CS:intrans+yi#]_[CT:-]_[CF:-]	S:[I2MS]_[CS:n-suff+z-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-aY+#-iy+#-iy'+#-uw+#-uw']	pos:verb asp:i vox:a per:2 gen:m num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	PS0 M0 OK	0
4	OK-ONE	1	VERB.I2FS.AI	jalas	تِجلِسِين	tijlisiyn	653			1a2a3	[jlis]	t/IV2FS+i/STEM+jlis/IV+iyn/IVSUFF_SUBJ:2FS	[MEERA]#to#sit+[KEV]#to#sit#down+[KEV]#to#sit#on,#e.g.,#a#chair,#at#a#table+to#sit#down	[intrans yi#]	[-]	P:[I2FS]_[CS:-]_[CT:yi#]_[CF:enc0:2*+h-pref+y#+yA#+ya#]	X:[I]_[CS:intrans+yi#]_[CT:-]_[CF:-]	S:[I2FS]_[CS:v-suff+y-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-aY+#-iy+#-iy'+#-uw+#-uw']	pos:verb asp:i vox:a per:2 gen:f num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	PS0 M0 OK	1
5	OK-ONE	1	VERB.I2P.AI	jalas	تِجلِسُون	tijlisuwn	653			1a2a3	[jlis]	t/IV2P+i/STEM+jlis/IV+uwn/IVSUFF_SUBJ:2P	[MEERA]#to#sit+[KEV]#to#sit#down+[KEV]#to#sit#on,#e.g.,#a#chair,#at#a#table+to#sit#down	[intrans yi#]	[-]	P:[I2P]_[CS:-]_[CT:yi#]_[CF:enc0:2*+h-pref+y#+yA#+ya#]	X:[I]_[CS:intrans+yi#]_[CT:-]_[CF:-]	S:[I2P]_[CS:v-suff+w-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-aY+#-iy+#-iy'+#-uw+#-uw']	pos:verb asp:i vox:a per:2 gen:u num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	PS0 M0 OK	0
6	OK-ONE	1	VERB.I2FP.AI	jalas	تِجلِسِن	tijlisin	653			1a2a3	[jlis]	t/IV2FP+i/STEM+jlis/IV+in/IVSUFF_SUBJ:2FP	[MEERA]#to#sit+[KEV]#to#sit#down+[KEV]#to#sit#on,#e.g.,#a#chair,#at#a#table+to#sit#down	[intrans yi#]	[-]	P:[I2FP]_[CS:-]_[CT:yi#]_[CF:enc0:2*+h-pref+y#+yA#+ya#]	X:[I]_[CS:intrans+yi#]_[CT:-]_[CF:-]	S:[I2FP]_[CS:v-suff+w-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-aY+#-iy+#-iy'+#-uw+#-uw']	pos:verb asp:i vox:a per:2 gen:f num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	PS0 M0 OK	1
7	OK-ONE	1	VERB.I3MS.AI	jalas	يِجلِس	yijlis	653			1a2a3	[jlis]	y/IV3MS+i/STEM+jlis/IV+(null)/IVSUFF_SUBJ:3MS	[MEERA]#to#sit+[KEV]#to#sit#down+[KEV]#to#sit#on,#e.g.,#a#chair,#at#a#table+to#sit#down	[intrans yi#]	[-]	P:[I3MS]_[CS:-]_[CT:yi#]_[CF:h-pref+y#+yA#+ya#]	X:[I]_[CS:intrans+yi#]_[CT:-]_[CF:-]	S:[I3MS]_[CS:n-suff+z-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-aY+#-iy+#-iy'+#-uw+#-uw']	pos:verb asp:i vox:a per:3 gen:m num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	PS0 M0 OK	0
8	OK-ONE	1	VERB.I3FS.AI	jalas	تِجلِس	tijlis	653			1a2a3	[jlis]	t/IV3FS+i/STEM+jlis/IV+(null)/IVSUFF_SUBJ:3FS	[MEERA]#to#sit+[KEV]#to#sit#down+[KEV]#to#sit#on,#e.g.,#a#chair,#at#a#table+to#sit#down	[intrans yi#]	[-]	P:[I3FS]_[CS:-]_[CT:yi#]_[CF:h-pref+y#+yA#+ya#]	X:[I]_[CS:intrans+yi#]_[CT:-]_[CF:-]	S:[I3FS]_[CS:n-suff+z-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-aY+#-iy+#-iy'+#-uw+#-uw']	pos:verb asp:i vox:a per:3 gen:f num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	PS0 M0 OK	1
9	OK-ONE	1	VERB.I3P.AI	jalas	يِجلِسُون	yijlisuwn	653			1a2a3	[jlis]	y/IV3P+i/STEM+jlis/IV+uwn/IVSUFF_SUBJ:3P	[MEERA]#to#sit+[KEV]#to#sit#down+[KEV]#to#sit#on,#e.g.,#a#chair,#at#a#table+to#sit#down	[intrans yi#]	[-]	P:[I3P]_[CS:-]_[CT:yi#]_[CF:h-pref+y#+yA#+ya#]	X:[I]_[CS:intrans+yi#]_[CT:-]_[CF:-]	S:[I3P]_[CS:v-suff+w-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-aY+#-iy+#-iy'+#-uw+#-uw']	pos:verb asp:i vox:a per:3 gen:u num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	PS0 M0 OK	0
10	OK-ZERO-E0-INTRANS	0	VERB.I1S.AI.E0	jalas			653			1a2a3	[jlis]			[intrans yi#]	[-]					PS0 FSE0	1
