,LINE,EXCLUDE,DEFINE,CLASS,FUNC,FORM,BW,#BW_EXTENDED,VARIANT,GLOSS,FEAT,COND-T,COND-S,EXAMPLES,D3SEG,D3TOK,ATBSEG,ATBTOK,STATUS,COMMENTS,NOTES
0,,,,"This file combines PV, IV and CV Morph info for MSA",,,,,,,,,,,,,,,,,
1,,,CONDITIONS,[LEMMA.V],Frozen,,,,,,,,,,,,,,,,
2,,,CONDITIONS,[STEM-X.V],#-}iy #-}~iy #->ay #->~ay #-A' #-a> #-aA #-aw #-ay #-aY #-ay-A #-i} #-iy #-iy' #-u& #-uw #-uw' #A-' #n #t,,,,,,,,,,,,,,,,
3,,,CONDITIONS,[X-ROOT.V],gem,,,,,,,,,,,,,,,,
4,,,CONDITIONS,[X-TRANS.V],intrans trans ditrans,,,,,,,,,,,,,,,,
5,,,CONDITIONS,[X-STEM.V],>-# >-a# >-o#,,,,,,,,,,,,,,,,
6,,,CONDITIONS,[PREF-X.V],a-# u-# ,,,,,,,,,,,,,,,,
7,,,CONDITIONS,[X-PREF.V],h-pref,,,,,,,,,,,,,,,,
8,,,CONDITIONS,[X-SUFF.PHONE.V],c-suff v-suff,,,,,,,,,,,,,,,,
9,,,CONDITIONS,[X-SUFF.LETTER.V],A-suff A-null w-suff y-suff z-suff,,,,,,,,,,,,,,,,
10,,,CONDITIONS,[X-SUFF.PHONE.VOWEL.V],u-suff a-suff i-suff,,,,,,,,,,,,,,,,
11,,,CONDITIONS,[X-SUFF.MORPH.V],mod:is,,,,,,,,,,,,,,,,
12,,,CONDITIONS,[SUFF-X.V],#^i #^iy #^ay,,,,,,,,,,,,,,,,
13,,,CONDITIONS,[PROCLITIC.V],conj,,,,,,,,,,,,,,,,
14,,,CONDITIONS,[PRON-X.V],enc0#^i,,,,,,,,,,,,,,,,
15,,,CONDITIONS,[PRON:*.V],enc0,,,,,,,,,,,,,,,,
16,,,CONDITIONS,[PRON:X.V],enc0:1* enc0:2*,,,,,,,,,,,,,,,,
17,,,CONDITIONS,[PRON2:*.V],enc1,,,,,,,,,,,,,,,,
18,,,CONDITIONS,[PRON2:X.V],enc1:1* enc1:2*,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,
20,1,,MORPH,[QUES],_,_,_,_,MSA,_,prc3:0,_,_,يَكتبُ,,,,,,,
21,2,,MORPH,[QUES],>a/PART_INTERROG,>a,>a/INTERROG_PART,>a/INTERROG_PART,MSA,is/are,prc3:>a_ques,_,_,أَيَكتبُ,>a+_,>a+_,>a+_,>a+_,,,
22,,,,,,,,,,,,,,,,,,,,,
23,3,,MORPH,[CONJ],_,_,_,_,MSA,_,prc2:0,_,_,يَكتبُ,,,,,,,
24,4,RED LREC,MORPH,[CONJ],fa/CONJ,fa,fa/CONJ,fa/CONJ,MSA,so/and,prc2:fa_conj,_,conj,فَيَكتبُ,fa+_,fa+_,fa+_,fa+_,,,
25,5,RED LREC,MORPH,[CONJ],fa/PART_CONNECT,fa,fa/CONNEC_PART,fa/CONNEC_PART,MSA,so/then,prc2:fa_conn,_,conj,فَيَكتبُ,fa+_,fa+_,fa+_,fa+_,,,
26,6,RED LREC,MORPH,[CONJ],fa/PART_RC,fa,fa/RC_PART,fa/RC_PART,MSA,so/then,prc2:fa_rc,_,conj,فَيَكتبُ,fa+_,fa+_,fa+_,fa+_,,,
27,7,RED LREC,MORPH,[CONJ],fa/CONJ_SUB,fa,fa/SUB_CONJ,fa/SUB_CONJ,MSA,because/therefore/as_a_result,prc2:fa_sub,_,conj,فَيَكتبُ,fa+_,fa+_,fa+_,fa+_,,,
28,8,,MORPH,[CONJ],wa/CONJ,wa,wa/CONJ,wa/CONJ,MSA,and,prc2:wa_conj,_,conj,وَيَكتبُ,wa+_,wa+_,wa+_,wa+_,,,
29,9,RED LREC,#MORPH,[CONJ],wa/PART,wa,wa/PART,wa/PART,MSA,[part.],prc2:wa_part,_,conj,** فَيَكتبُ,wa+_,wa+_,wa+_,wa+_,,,"Should not exist for verbs, only for nominals (see nominals morph sheet)"
30,10,RED LREC,MORPH,[CONJ],wa/SUB_CONJ,wa,wa/SUB_CONJ,wa/SUB_CONJ,MSA,while,prc2:wa_sub,_,conj,وَيَكتبُ,wa+_,wa+_,wa+_,wa+_,,,
31,,,,,,,,,,,,,,,,,,,,,
32,11,,MORPH,[VPART.P],_,_,_,_,MSA,_,prc1:0 prc0:0,_,_,كَتَبَ,,,,,,,
33,12,,MORPH,[VPART.P],la/PART_RC,la,la/RC_PART,la/RC_PART,MSA,then,prc1:la_rc prc0:0,_,_,لَكَتبَ,la+_,la+_,la+_,la+_,,,
34,13,,MORPH,[VPART.I],_,_,_,_,MSA,_,prc1:0 prc0:0,_,_,يَكتبُونَ ,,,,,,,
35,14,,MORPH,[VPART.I],sa/PART_FUT,sa,sa/FUT_PART,sa/FUT_PART,MSA,will,prc1:sa_fut prc0:0,_,_,سَيَكتبُونَ,sa+_,sa+_,sa+_,sa+_,,,
