LINE	STATUS	COUNT	SIGNATURE	LEMMA	DIAC_AR	DIAC	FREQ	QC	COMMENTS	PATTERN	STEM	BW	GLOSS	COND-S	COND-T	PREF-CAT	STEM-CAT	SUFF-CAT	FEATS	DEBUG	COLOR
1	OK-ZERO-CV-PER	0	VERB.C1S.AI	xAf-a			390			1aAo3	[xAf][xaf]			[trans][trans]	[c-suff][v-suff]					PS0 XVox0 FSE0 PP0 M0	0
2	OK-ZERO-CV-PER	0	VERB.C1P.AI	xAf-a			390			1aAo3	[xAf][xaf]			[trans][trans]	[c-suff][v-suff]					PS0 XVox0 FSE0 PP0 M0	1
3	OK-ONE	1	VERB.C2MS.AI	xAf-a	خَفْ	xafo	390			1aAo3	[xAf][xaf]	xaf/CV+o/CVSUFF_SUBJ:2MS	fear;be_afraid_(of)	[trans][trans]	[c-suff][v-suff]	P:[C]_[CS:-]_[CT:-]_[CF:-]	X:[C]_[CS:trans]_[CT:c-suff]_[CF:#-A'+#-a>+#-aA+#-aY+#-iy+#-iy'+#-uw+#-uw'+#-}iy]	S:[C]_[CS:c-suff]_[CT:-]_[CF:#-aA||#-uw||#-aY+#-iy||#-}iy+enc0:2*+gem]	pos:verb asp:c vox:a per:2 gen:m num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	PS0 XVox0 FSE0 PP0 OK M0	0
4	OK-ONE	1	VERB.C2FS.AI	xAf-a	خافِي	xAfiy	390			1aAo3	[xAf][xaf]	xAf/CV+iy/CVSUFF_SUBJ:2FS	fear;be_afraid_(of)	[trans][trans]	[c-suff][v-suff]	P:[C]_[CS:-]_[CT:-]_[CF:-]	X:[C]_[CS:trans]_[CT:v-suff]_[CF:#-A'+#-a>+#-aA+#-aY+#-iy+#-iy'+#-uw+#-uw'+#-}iy]	S:[C]_[CS:#^iy+v-suff+y-suff]_[CT:-]_[CF:#-aY||#-aA+enc0:2*]	pos:verb asp:c vox:a per:2 gen:f num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	PS0 XVox0 FSE0 PP0 OK M0	1
5	OK-ONE	1	VERB.C2D.AI	xAf-a	خافا	xAfA	390			1aAo3	[xAf][xaf]	xAf/CV+A/CVSUFF_SUBJ:2D	fear;be_afraid_(of)	[trans][trans]	[c-suff][v-suff]	P:[C]_[CS:-]_[CT:-]_[CF:-]	X:[C]_[CS:trans]_[CT:v-suff]_[CF:#-A'+#-a>+#-aA+#-aY+#-iy+#-iy'+#-uw+#-uw'+#-}iy]	S:[C]_[CS:A-suff+v-suff]_[CT:-]_[CF:#-a>+enc0:2*]	pos:verb asp:c vox:a per:2 gen:u num:d mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	PS0 XVox0 FSE0 PP0 OK M0	0
6	OK-ONE	1	VERB.C2MP.AI	xAf-a	خافُوا	xAfuwA	390			1aAo3	[xAf][xaf]	xAf/CV+uwA/CVSUFF_SUBJ:2MP	fear;be_afraid_(of)	[trans][trans]	[c-suff][v-suff]	P:[C]_[CS:-]_[CT:-]_[CF:-]	X:[C]_[CS:trans]_[CT:v-suff]_[CF:#-A'+#-a>+#-aA+#-aY+#-iy+#-iy'+#-uw+#-uw'+#-}iy]	S:[C]_[CS:v-suff+w-suff]_[CT:-]_[CF:#-aA||#-aY+enc0+enc0:2*]	pos:verb asp:c vox:a per:2 gen:m num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	PS0 XVox0 FSE0 PP0 OK M0	1
7	OK-ONE	1	VERB.C2FP.AI	xAf-a	خَفنَ	xafna	390			1aAo3	[xAf][xaf]	xaf/CV+na/CVSUFF_SUBJ:2FP	fear;be_afraid_(of)	[trans][trans]	[c-suff][v-suff]	P:[C]_[CS:-]_[CT:-]_[CF:-]	X:[C]_[CS:trans]_[CT:c-suff]_[CF:#-A'+#-a>+#-aA+#-aY+#-iy+#-iy'+#-uw+#-uw'+#-}iy]	S:[C]_[CS:c-suff]_[CT:-]_[CF:#n+enc0:2*]	pos:verb asp:c vox:a per:2 gen:f num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	PS0 XVox0 FSE0 PP0 OK M0	0
8	OK-ZERO-CV-PER	0	VERB.C3MS.AI	xAf-a			390			1aAo3	[xAf][xaf]			[trans][trans]	[c-suff][v-suff]					PS0 XVox0 FSE0 PP0 M0	1
9	OK-ZERO-CV-PER	0	VERB.C3FS.AI	xAf-a			390			1aAo3	[xAf][xaf]			[trans][trans]	[c-suff][v-suff]					PS0 XVox0 FSE0 PP0 M0	0
10	OK-ZERO-CV-PER	0	VERB.C3MD.AI	xAf-a			390			1aAo3	[xAf][xaf]			[trans][trans]	[c-suff][v-suff]					PS0 XVox0 FSE0 PP0 M0	1
