LINE	STATUS	COUNT	SIGNATURE	LEMMA	DIAC_AR	DIAC	FREQ	QC	COMMENTS	PATTERN	STEM	BW	GLOSS	COND-S	COND-T	PREF-CAT	STEM-CAT	SUFF-CAT	FEATS	DEBUG	COLOR
1	OK-ONE	1	VERB.C2MS.AI	>a$Ar	شِير	$iyr	3757	OK		>a1aAo3	[$iyr]	$iyr/CV+(null)/CVSUFF_SUBJ:2MS	indicate;mention;cite;be_indicated;be_mentioned;be_cited_[CALIMA]	[intrans]	[-]	P:[C]_[CS:-]_[CT:-]_[CF:-]	X:[C]_[CS:intrans]_[CT:-]_[CF:#-A+#-A'+#-a>+#-aY+#-iy+#-iy'+#-uw+#-uw']	S:[C]_[CS:z-suff]_[CT:-]_[CF:-]	pos:verb asp:c vox:a per:2 gen:m num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 PS0 PP0 OK M0	0
2	OK-ONE	1	VERB.C2FS.AI	>a$Ar	شِيرِي	$iyriy	3757	OK	>a$iyriy	>a1aAo3	[$iyr]	$iyr/CV+iy/CVSUFF_SUBJ:2FS	indicate;mention;cite;be_indicated;be_mentioned;be_cited_[CALIMA]	[intrans]	[-]	P:[C]_[CS:-]_[CT:-]_[CF:-]	X:[C]_[CS:intrans]_[CT:-]_[CF:#-A+#-A'+#-a>+#-aY+#-iy+#-iy'+#-uw+#-uw']	S:[C]_[CS:#^V+v-suff+y-suff]_[CT:-]_[CF:-]	pos:verb asp:c vox:a per:2 gen:f num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 PS0 PP0 OK M0	1
3	OK-ONE	1	VERB.C2P.AI	>a$Ar	شِيرُوا	$iyruwA	3757	OK		>a1aAo3	[$iyr]	$iyr/CV+uwA/CVSUFF_SUBJ:2P	indicate;mention;cite;be_indicated;be_mentioned;be_cited_[CALIMA]	[intrans]	[-]	P:[C]_[CS:-]_[CT:-]_[CF:-]	X:[C]_[CS:intrans]_[CT:-]_[CF:#-A+#-A'+#-a>+#-aY+#-iy+#-iy'+#-uw+#-uw']	S:[C]_[CS:#^V+v-suff+w-suff]_[CT:-]_[CF:enc0||enc1||enc2]	pos:verb asp:c vox:a per:2 gen:u num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 PS0 PP0 OK M0	0
4	OK-ZERO-E0-INTRANS	0	VERB.C2MS.AI.E0	>a$Ar			3757	OK		>a1aAo3	[$iyr]			[intrans]	[-]					PP0 FSE0 PS0	1
5	OK-ZERO-E0-INTRANS	0	VERB.C2FS.AI.E0	>a$Ar			3757	OK		>a1aAo3	[$iyr]			[intrans]	[-]					PP0 FSE0 PS0	0
6	OK-ZERO-E0-INTRANS	0	VERB.C2P.AI.E0	>a$Ar			3757	OK		>a1aAo3	[$iyr]			[intrans]	[-]					PP0 FSE0 PS0	1
7	OK-ONE	1	VERB.C2MS.AI	Aisota>oSal	اِسْتَأْصِل	Aisota>oSil	3352	OK		None	[Aisota>oSil]	Aisota>oSil/CV+(null)/CVSUFF_SUBJ:2MS	Gloss:TBA_[CALIMA]	[trans]	[-]	P:[C]_[CS:-]_[CT:-]_[CF:-]	X:[C]_[CS:trans]_[CT:-]_[CF:#-A+#-A'+#-a>+#-aY+#-iy+#-iy'+#-uw+#-uw']	S:[C]_[CS:z-suff]_[CT:-]_[CF:-]	pos:verb asp:c vox:a per:2 gen:m num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 PS0 PP0 OK M0	0
8	OK-ONE	1	VERB.C2FS.AI	Aisota>oSal	اِسْتَأْصِلِي	Aisota>oSiliy	3352	OK		None	[Aisota>oSil]	Aisota>oSil/CV+iy/CVSUFF_SUBJ:2FS	Gloss:TBA_[CALIMA]	[trans]	[-]	P:[C]_[CS:-]_[CT:-]_[CF:-]	X:[C]_[CS:trans]_[CT:-]_[CF:#-A+#-A'+#-a>+#-aY+#-iy+#-iy'+#-uw+#-uw']	S:[C]_[CS:#^V+v-suff+y-suff]_[CT:-]_[CF:-]	pos:verb asp:c vox:a per:2 gen:f num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 PS0 PP0 OK M0	1
9	OK-ONE	1	VERB.C2P.AI	Aisota>oSal	اِسْتَأْصِلُوا	Aisota>oSiluwA	3352	OK		None	[Aisota>oSil]	Aisota>oSil/CV+uwA/CVSUFF_SUBJ:2P	Gloss:TBA_[CALIMA]	[trans]	[-]	P:[C]_[CS:-]_[CT:-]_[CF:-]	X:[C]_[CS:trans]_[CT:-]_[CF:#-A+#-A'+#-a>+#-aY+#-iy+#-iy'+#-uw+#-uw']	S:[C]_[CS:#^V+v-suff+w-suff]_[CT:-]_[CF:enc0||enc1||enc2]	pos:verb asp:c vox:a per:2 gen:u num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 PS0 PP0 OK M0	0
10	OK-ONE	1	VERB.C2MS.AI.E0	Aisota>oSal	اِسْتَأْصِلُه	Aisota>oSiluh	3352	OK	no cv	None	[Aisota>oSil]	Aisota>oSil/CV+(null)/CVSUFF_SUBJ:2MS+uh/XVSUFF_DO:3MS	Gloss:TBA_[CALIMA]	[trans]	[-]	P:[C]_[CS:-]_[CT:-]_[CF:-]	X:[C]_[CS:trans]_[CT:-]_[CF:#-A+#-A'+#-a>+#-aY+#-iy+#-iy'+#-uw+#-uw']	S:[C]_[CS:enc0+z-suff]_[CT:trans]_[CF:enc2]	pos:verb asp:c vox:a per:2 gen:m num:s mod:i enc0:3ms_dobj prc0:0 prc1:0 prc2:0 prc3:0	FSE0 PS0 PP0 OK M0	1
11	OK-ONE	1	VERB.C2FS.AI.E0	Aisota>oSal	اِسْتَأْصِلِيه	Aisota>oSiliyh	3352	OK	no cv	None	[Aisota>oSil]	Aisota>oSil/CV+iy/CVSUFF_SUBJ:2FS+uh/XVSUFF_DO:3MS	Gloss:TBA_[CALIMA]	[trans]	[-]	P:[C]_[CS:-]_[CT:-]_[CF:-]	X:[C]_[CS:trans]_[CT:-]_[CF:#-A+#-A'+#-a>+#-aY+#-iy+#-iy'+#-uw+#-uw']	S:[C]_[CS:#^V+enc0+v-suff+y-suff]_[CT:trans]_[CF:enc2]	pos:verb asp:c vox:a per:2 gen:f num:s mod:i enc0:3ms_dobj prc0:0 prc1:0 prc2:0 prc3:0	FSE0 PS0 PP0 OK M0	0
12	OK-ONE	1	VERB.C2P.AI.E0	Aisota>oSal	اِسْتَأْصِلُوه	Aisota>oSiluwh	3352	OK	no cv	None	[Aisota>oSil]	Aisota>oSil/CV+uwA/CVSUFF_SUBJ:2P+uh/XVSUFF_DO:3MS	Gloss:TBA_[CALIMA]	[trans]	[-]	P:[C]_[CS:-]_[CT:-]_[CF:-]	X:[C]_[CS:trans]_[CT:-]_[CF:#-A+#-A'+#-a>+#-aY+#-iy+#-iy'+#-uw+#-uw']	S:[C]_[CS:#^V+enc0+v-suff+w-suff]_[CT:enc0||enc1||enc2+trans]_[CF:enc2]	pos:verb asp:c vox:a per:2 gen:u num:p mod:i enc0:3ms_dobj prc0:0 prc1:0 prc2:0 prc3:0	FSE0 PS0 PP0 OK M0	1
