SIGNATURE	LEMMA	DIAC	QC	COMMENTS	STATUS
VERB.I1S.AI	taDam~an	>ataDam~anu	OK		
VERB.I1P.AI	taDam~an	nataDam~anu	OK		
VERB.I2MS.AI	taDam~an	tataDam~anu	OK		
VERB.I2FS.AI	taDam~an	tataDam~aniyna	OK		
VERB.I2D.AI	taDam~an	tataDam~anAni	OK		
VERB.I2MP.AI	taDam~an	tataDam~anuwna	OK		
VERB.I2FP.AI	taDam~an	tataDam~an~a	OK		
VERB.I3MS.AI	taDam~an	yataDam~anu	OK		
VERB.I3FS.AI	taDam~an	tataDam~anu	OK		
VERB.I3MD.AI	taDam~an	yataDam~anAni	OK		
VERB.I3FD.AI	taDam~an	tataDam~anAni	OK		
VERB.I3MP.AI	taDam~an	yataDam~anuwna	OK		
VERB.I3FP.AI	taDam~an	yataDam~an~a	OK		
VERB.I1S.PI	taDam~an	>utaDam~anu	OK		
VERB.I1P.PI	taDam~an	nutaDam~anu	OK		
VERB.I2MS.PI	taDam~an	tutaDam~anu	OK		
VERB.I2FS.PI	taDam~an	tutaDam~aniyna	OK		
VERB.I2D.PI	taDam~an	tutaDam~anAni	OK		
VERB.I2MP.PI	taDam~an	tutaDam~anuwna	OK		
VERB.I2FP.PI	taDam~an	tutaDam~an~a	OK		
VERB.I3MS.PI	taDam~an	yutaDam~anu	OK		
VERB.I3FS.PI	taDam~an	tutaDam~anu	OK		
VERB.I3MD.PI	taDam~an	yutaDam~anAni	OK		
VERB.I3FD.PI	taDam~an	tutaDam~anAni	OK		
VERB.I3MP.PI	taDam~an	yutaDam~anuwna	OK		
VERB.I3FP.PI	taDam~an	yutaDam~an~a	OK		
VERB.I1S.AI.E0	taDam~an	>ataDam~anuhu	OK		
VERB.I1P.AI.E0	taDam~an	nataDam~anuhu	OK		
VERB.I2MS.AI.E0	taDam~an	tataDam~anuhu	OK		
VERB.I2FS.AI.E0	taDam~an	tataDam~aniynahu	OK		
VERB.I2D.AI.E0	taDam~an	tataDam~anAnihi	OK		
VERB.I2MP.AI.E0	taDam~an	tataDam~anuwnahu	OK		
VERB.I2FP.AI.E0	taDam~an	tataDam~an~ahu	OK		
VERB.I3MS.AI.E0	taDam~an	yataDam~anuhu	OK		
VERB.I3FS.AI.E0	taDam~an	tataDam~anuhu	OK		
VERB.I3MD.AI.E0	taDam~an	yataDam~anAnihi	OK		
VERB.I3FD.AI.E0	taDam~an	tataDam~anAnihi	OK		
VERB.I3MP.AI.E0	taDam~an	yataDam~anuwnahu	OK		
VERB.I3FP.AI.E0	taDam~an	yataDam~an~ahu	OK		
VERB.I1S.PI.E0	taDam~an		OK		
VERB.I1P.PI.E0	taDam~an		OK		
VERB.I2MS.PI.E0	taDam~an		OK		
VERB.I2FS.PI.E0	taDam~an		OK		
VERB.I2D.PI.E0	taDam~an		OK		
VERB.I2MP.PI.E0	taDam~an		OK		
VERB.I2FP.PI.E0	taDam~an		OK		
VERB.I3MS.PI.E0	taDam~an		OK		
VERB.I3FS.PI.E0	taDam~an		OK		
VERB.I3MD.PI.E0	taDam~an		OK		
VERB.I3FD.PI.E0	taDam~an		OK		
VERB.I3MP.PI.E0	taDam~an		OK		
VERB.I3FP.PI.E0	taDam~an		OK		
VERB.I1S.AI	tam~-i	>atim~u	OK		
VERB.I1P.AI	tam~-i	natim~u	OK		
VERB.I2MS.AI	tam~-i	tatim~u	OK		
VERB.I2FS.AI	tam~-i	tatim~iyna	OK		
VERB.I2D.AI	tam~-i	tatim~Ani	OK		
VERB.I2MP.AI	tam~-i	tatim~uwna	OK		
VERB.I2FP.AI	tam~-i	tatomimna	OK		
VERB.I3MS.AI	tam~-i	yatim~u	OK		
VERB.I3FS.AI	tam~-i	tatim~u	OK		
VERB.I3MD.AI	tam~-i	yatim~Ani	OK		
VERB.I3FD.AI	tam~-i	tatim~Ani	OK		
VERB.I3MP.AI	tam~-i	yatim~uwna	OK		
VERB.I3FP.AI	tam~-i	yatomimna	OK		
VERB.I1S.PI	tam~-i	>utam~u	OK		
VERB.I1P.PI	tam~-i	nutam~u	OK		
VERB.I2MS.PI	tam~-i	tutam~u	OK		
VERB.I2FS.PI	tam~-i	tutam~iyna	OK		
VERB.I2D.PI	tam~-i	tutam~Ani	OK		
VERB.I2MP.PI	tam~-i	tutam~uwna	OK		
VERB.I2FP.PI	tam~-i	tutomamna	OK		
VERB.I3MS.PI	tam~-i	yutam~u	OK		
VERB.I3FS.PI	tam~-i	tutam~u	OK		
VERB.I3MD.PI	tam~-i	yutam~Ani	OK		
VERB.I3FD.PI	tam~-i	tutam~Ani	OK		
VERB.I3MP.PI	tam~-i	yutam~uwna	OK		
VERB.I3FP.PI	tam~-i	yutomamna	OK		
VERB.I1S.AI.E0	tam~-i		OK		
