,LINE,STATUS,COUNT,SIGNATURE,LEMMA,DIAC_AR,DIAC,FREQ,QC,Comments,PATTERN,STEM,BW,GLOSS,COND-S,COND-T,PREF-CAT,STEM-CAT,SUFF-CAT,FEATS,DEBUG,COLOR
0,1,OK-ONE,1,VERB.I1S.AI,taDam~an_1,أَتَضَمَّنُ,>ataDam~anu,139,OK,,ta1a2~a3,[taDam~an](0)[taDam~an](1),>/IV1S+a/STEM+taDam~an/IV+u/IVSUFF_SUBJ:1S_MOOD:I,guarantee;comprise;include,[a-# #n trans](0)[u-# #n intrans](1),[-](0)(1),P:[I1S.I]_[CS:h-pref]_[CT:a-#]_[CF:>-#],X:[I]_[CS:a-#+#n+trans]_[CT:a-#]_[CF:>-#],S:[I1S.I]_[CS:v-suff+u-suff+z-suff]_[CT:-]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+#-iy+#-aY||#-uw||#-aA],pos:verb asp:i vox:a per:1 gen:u num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0 FSE0,0
1,2,OK-ONE,1,VERB.I1P.AI,taDam~an_1,نَتَضَمَّنُ,nataDam~anu,139,OK,,ta1a2~a3,[taDam~an](0)[taDam~an](1),n/IV1P+a/STEM+taDam~an/IV+u/IVSUFF_SUBJ:1P_MOOD:I,guarantee;comprise;include,[a-# #n trans](0)[u-# #n intrans](1),[-](0)(1),P:[I1P.I]_[CS:-]_[CT:-]_[CF:enc0:1*],X:[I]_[CS:a-#+#n+trans]_[CT:a-#]_[CF:>-#],S:[I1P.I]_[CS:v-suff+u-suff+z-suff]_[CT:-]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+#-iy+#-aY||#-uw||#-aA],pos:verb asp:i vox:a per:1 gen:u num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0 FSE0,1
2,3,OK-ONE,1,VERB.I2MS.AI,taDam~an_1,تَتَضَمَّنُ,tataDam~anu,139,OK,,ta1a2~a3,[taDam~an](0)[taDam~an](1),t/IV2MS+a/STEM+taDam~an/IV+u/IVSUFF_SUBJ:2MS_MOOD:I,guarantee;comprise;include,[a-# #n trans](0)[u-# #n intrans](1),[-](0)(1),P:[I2MS.I]_[CS:-]_[CT:-]_[CF:enc0:2*],X:[I]_[CS:a-#+#n+trans]_[CT:a-#]_[CF:>-#],S:[I2MS.I]_[CS:v-suff+u-suff+z-suff]_[CT:-]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+#-iy+#-aY||#-uw||#-aA],pos:verb asp:i vox:a per:2 gen:m num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0 FSE0,0
3,4,OK-ONE,1,VERB.I2FS.AI,taDam~an_1,تَتَضَمَّنِينَ,tataDam~aniyna,139,OK,,ta1a2~a3,[taDam~an](0)[taDam~an](1),t/IV2FS+a/STEM+taDam~an/IV+iyna/IVSUFF_SUBJ:2FS_MOOD:I,guarantee;comprise;include,[a-# #n trans](0)[u-# #n intrans](1),[-](0)(1),P:[I2FS.I]_[CS:-]_[CT:-]_[CF:enc0:2*],X:[I]_[CS:a-#+#n+trans]_[CT:a-#]_[CF:>-#],S:[I2FS.I]_[CS:v-suff+y-suff]_[CT:-]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+#-aY||#-aA],pos:verb asp:i vox:a per:2 gen:f num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0 FSE0,1
4,5,OK-ONE,1,VERB.I2D.AI,taDam~an_1,تَتَضَمَّنانِ,tataDam~anAni,139,OK,,ta1a2~a3,[taDam~an](0)[taDam~an](1),t/IV2D+a/STEM+taDam~an/IV+Ani/IVSUFF_SUBJ:2D_MOOD:I,guarantee;comprise;include,[a-# #n trans](0)[u-# #n intrans](1),[-](0)(1),P:[I2D.I]_[CS:-]_[CT:-]_[CF:enc0:2*],X:[I]_[CS:a-#+#n+trans]_[CT:a-#]_[CF:>-#],S:[I2D.I]_[CS:v-suff+A-suff+#^i]_[CT:-]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+#-a>],pos:verb asp:i vox:a per:2 gen:u num:d mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0 FSE0,0
5,6,OK-ONE,1,VERB.I2MP.AI,taDam~an_1,تَتَضَمَّنُونَ,tataDam~anuwna,139,OK,,ta1a2~a3,[taDam~an](0)[taDam~an](1),t/IV2MP+a/STEM+taDam~an/IV+uwna/IVSUFF_SUBJ:2MP_MOOD:I,guarantee;comprise;include,[a-# #n trans](0)[u-# #n intrans](1),[-](0)(1),P:[I2MP.I]_[CS:-]_[CT:-]_[CF:enc0:2*],X:[I]_[CS:a-#+#n+trans]_[CT:a-#]_[CF:>-#],S:[I2MP.I]_[CS:v-suff+w-suff]_[CT:-]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+#-aY||#-aA],pos:verb asp:i vox:a per:2 gen:m num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0 FSE0,1
6,7,OK-ONE,1,VERB.I2FP.AI,taDam~an_1,تَتَضَمَّنَّ,tataDam~an~a,139,OK,,ta1a2~a3,[taDam~an](0)[taDam~an](1),t/IV2FP+a/STEM+taDam~an/IV+~a/IVSUFF_SUBJ:2FP_MOOD:I,guarantee;comprise;include,[a-# #n trans](0)[u-# #n intrans](1),[-](0)(1),P:[I2FP.I]_[CS:-]_[CT:-]_[CF:enc0:2*],X:[I]_[CS:a-#+#n+trans]_[CT:a-#]_[CF:>-#],S:[I2FP.I]_[CS:c-suff]_[CT:#n]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy],pos:verb asp:i vox:a per:2 gen:f num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0 FSE0,0
7,8,OK-ONE,1,VERB.I3MS.AI,taDam~an_1,يَتَضَمَّنُ,yataDam~anu,139,OK,,ta1a2~a3,[taDam~an](0)[taDam~an](1),y/IV3MS+a/STEM+taDam~an/IV+u/IVSUFF_SUBJ:3MS_MOOD:I,guarantee;comprise;include,[a-# #n trans](0)[u-# #n intrans](1),[-](0)(1),P:[I3MS.I]_[CS:-]_[CT:-]_[CF:-],X:[I]_[CS:a-#+#n+trans]_[CT:a-#]_[CF:>-#],S:[I3MS.I]_[CS:v-suff+u-suff+z-suff]_[CT:-]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+#-iy+#-aY||#-uw||#-aA],pos:verb asp:i vox:a per:3 gen:m num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0 FSE0,1
8,9,OK-ONE,1,VERB.I3FS.AI,taDam~an_1,تَتَضَمَّنُ,tataDam~anu,139,OK,,ta1a2~a3,[taDam~an](0)[taDam~an](1),t/IV3FS+a/STEM+taDam~an/IV+u/IVSUFF_SUBJ:3FS_MOOD:I,guarantee;comprise;include,[a-# #n trans](0)[u-# #n intrans](1),[-](0)(1),P:[I3FS.I]_[CS:-]_[CT:-]_[CF:-],X:[I]_[CS:a-#+#n+trans]_[CT:a-#]_[CF:>-#],S:[I3FS.I]_[CS:v-suff+u-suff+z-suff]_[CT:-]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+#-iy+#-aY||#-uw||#-aA],pos:verb asp:i vox:a per:3 gen:f num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0 FSE0,0
9,10,OK-ONE,1,VERB.I3MD.AI,taDam~an_1,يَتَضَمَّنانِ,yataDam~anAni,139,OK,,ta1a2~a3,[taDam~an](0)[taDam~an](1),y/IV3MD+a/STEM+taDam~an/IV+Ani/IVSUFF_SUBJ:3MD_MOOD:I,guarantee;comprise;include,[a-# #n trans](0)[u-# #n intrans](1),[-](0)(1),P:[I3MD.I]_[CS:-]_[CT:-]_[CF:-],X:[I]_[CS:a-#+#n+trans]_[CT:a-#]_[CF:>-#],S:[I3MD.I]_[CS:v-suff+A-suff+#^i]_[CT:-]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+#-a>],pos:verb asp:i vox:a per:3 gen:m num:d mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0 FSE0,1
