LINE	STATUS	COUNT	SIGNATURE	LEMMA	DIAC_AR	DIAC	FREQ	QC	COMMENTS	PATTERN	STEM	BW	GLOSS	COND-S	COND-T	PREF-CAT	STEM-CAT	SUFF-CAT	FEATS	DEBUG	COLOR
1	OK-ONE	1	VERB.C2MS.AI	kAn	كُون	kuwn	717			1aAo3	[kuwn]	kuwn/CV+(null)/CVSUFF_SUBJ:2MS	[KEV]#to#be+to#be#doing#s.th.#or#used#to#do#s.th.+to#be#doing#s.th.#or#having#done#s.th.+to#be+to#be#doing#s.th.#or#used#to#do#s.th.+to#be#doing#s.th.#or#having#done#s.th.	[intrans]	[-]	P:[C]_[CS:-]_[CT:-]_[CF:-]	X:[C]_[CS:intrans]_[CT:-]_[CF:-]	S:[C]_[CS:n-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-aY+#-iy+#-iy'+#-uw+#-uw']	pos:verb asp:c vox:a per:2 gen:m num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	OK M0	0
2	OK-ONE	1	VERB.C2FS.AI	kAn	كُونِي	kuwniy	717			1aAo3	[kuwn]	kuwn/CV+iy/CVSUFF_SUBJ:2FS	[KEV]#to#be+to#be#doing#s.th.#or#used#to#do#s.th.+to#be#doing#s.th.#or#having#done#s.th.+to#be+to#be#doing#s.th.#or#used#to#do#s.th.+to#be#doing#s.th.#or#having#done#s.th.	[intrans]	[-]	P:[C]_[CS:-]_[CT:-]_[CF:-]	X:[C]_[CS:intrans]_[CT:-]_[CF:-]	S:[C]_[CS:v-suff+y-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-aY+#-iy+#-iy'+#-uw+#-uw']	pos:verb asp:c vox:a per:2 gen:f num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	OK M0	1
3	OK-ONE	1	VERB.C2P.AI	kAn	كُونَوا	kuwnawA	717			1aAo3	[kuwn]	kuwn/CV+awA/CVSUFF_SUBJ:2P	[KEV]#to#be+to#be#doing#s.th.#or#used#to#do#s.th.+to#be#doing#s.th.#or#having#done#s.th.+to#be+to#be#doing#s.th.#or#used#to#do#s.th.+to#be#doing#s.th.#or#having#done#s.th.	[intrans]	[-]	P:[C]_[CS:-]_[CT:-]_[CF:-]	X:[C]_[CS:intrans]_[CT:-]_[CF:-]	S:[C]_[CS:v-suff+w-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-aY+#-iy+#-iy'+#-uw+#-uw'+enc0||enc1]	pos:verb asp:c vox:a per:2 gen:u num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	OK M0	0
4	OK-ZERO-E0-INTRANS	0	VERB.C2MS.AI.E0	kAn			717			1aAo3	[kuwn]			[intrans]	[-]					FSE0	1
5	OK-ZERO-E0-INTRANS	0	VERB.C2FS.AI.E0	kAn			717			1aAo3	[kuwn]			[intrans]	[-]					FSE0	0
6	OK-ZERO-E0-INTRANS	0	VERB.C2P.AI.E0	kAn			717			1aAo3	[kuwn]			[intrans]	[-]					FSE0	1
7	OK-ONE	1	VERB.C2MS.AI	qAl	قُول	quwl	1429			1aAo3	[quwl]	quwl/CV+(null)/CVSUFF_SUBJ:2MS	[KEV]#to#say,#tell+to#tell+[MEERA]#to#say	[trans]	[-]	P:[C]_[CS:-]_[CT:-]_[CF:-]	X:[C]_[CS:trans]_[CT:-]_[CF:-]	S:[C]_[CS:n-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-aY+#-iy+#-iy'+#-uw+#-uw']	pos:verb asp:c vox:a per:2 gen:m num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 OK M0	0
8	OK-ONE	1	VERB.C2FS.AI	qAl	قُولِي	quwliy	1429			1aAo3	[quwl]	quwl/CV+iy/CVSUFF_SUBJ:2FS	[KEV]#to#say,#tell+to#tell+[MEERA]#to#say	[trans]	[-]	P:[C]_[CS:-]_[CT:-]_[CF:-]	X:[C]_[CS:trans]_[CT:-]_[CF:-]	S:[C]_[CS:v-suff+y-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-aY+#-iy+#-iy'+#-uw+#-uw']	pos:verb asp:c vox:a per:2 gen:f num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 OK M0	1
9	OK-ONE	1	VERB.C2P.AI	qAl	قُولَوا	quwlawA	1429			1aAo3	[quwl]	quwl/CV+awA/CVSUFF_SUBJ:2P	[KEV]#to#say,#tell+to#tell+[MEERA]#to#say	[trans]	[-]	P:[C]_[CS:-]_[CT:-]_[CF:-]	X:[C]_[CS:trans]_[CT:-]_[CF:-]	S:[C]_[CS:v-suff+w-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-aY+#-iy+#-iy'+#-uw+#-uw'+enc0||enc1]	pos:verb asp:c vox:a per:2 gen:u num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 OK M0	0
10	OK-ONE	1	VERB.C2MS.AI.E0	qAl	قُولَه	quwlah	1429			1aAo3	[quwl]	quwl/CV+(null)/CVSUFF_SUBJ:2MS+ah/XVSUFF_DO:3MS	[KEV]#to#say,#tell+to#tell+[MEERA]#to#say	[trans]	[-]	P:[C]_[CS:-]_[CT:-]_[CF:-]	X:[C]_[CS:trans]_[CT:-]_[CF:-]	S:[C]_[CS:enc0+n-suff]_[CT:trans]_[CF:#-A'+#-a>+#-aA+#-aY+#-iy+#-iy'+#-uw+#-uw'+enc1]	pos:verb asp:c vox:a per:2 gen:m num:s mod:i enc0:3ms_dobj prc0:0 prc1:0 prc2:0 prc3:0	FSE0 OK M0	1
