LINE	STATUS	COUNT	SIGNATURE	LEMMA	DIAC_AR	DIAC	FREQ	QC	COMMENTS	PATTERN	STEM	BW	GLOSS	COND-S	COND-T	PREF-CAT	STEM-CAT	SUFF-CAT	FEATS	DEBUG	COLOR
1	OK-ONE	1	VERB.I1S.AI	Aitogar~ab	اَتْغَرَّب	Aatogar~ab	3723			None	[togar~ab]	Aa/IV1S+togar~ab/IV+(null)/IVSUFF_SUBJ:1S	be_westernized;stay_away;emigrate_[CALIMA]	[intrans]	[-]	P:[I1S]_[CS:h-pref]_[CT:-]_[CF:yA-#]	X:[I]_[CS:intrans]_[CT:h-pref]_[CF:#-A+#-A'+#-a>+#-aY+#-iy+#-iy'+#-uw+#-uw']	S:[I1S]_[CS:n-suff+z-suff]_[CT:-]_[CF:-]	pos:verb asp:i vox:a per:1 gen:u num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	OK M0 FSE0 PS0 PP0	0
2	OK-ONE	1	VERB.I1P.AI	Aitogar~ab	نِتْغَرَّب	nitogar~ab	3723			None	[togar~ab]	n/IV1P+i/STEM+togar~ab/IV+(null)/IVSUFF_SUBJ:1P	be_westernized;stay_away;emigrate_[CALIMA]	[intrans]	[-]	P:[I1P]_[CS:-]_[CT:-]_[CF:enc0:1*]	X:[I]_[CS:intrans]_[CT:-]_[CF:#-A+#-A'+#-a>+#-aY+#-iy+#-iy'+#-uw+#-uw'+h-pref+yA-#+ya-#+yu-#]	S:[I1P]_[CS:n-suff+z-suff]_[CT:-]_[CF:-]	pos:verb asp:i vox:a per:1 gen:u num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	OK M0 FSE0 PS0 PP0	1
3	OK-ONE	1	VERB.I2MS.AI	Aitogar~ab	تِتْغَرَّب	titogar~ab	3723			None	[togar~ab]	t/IV2MS+i/STEM+togar~ab/IV+(null)/IVSUFF_SUBJ:2MS	be_westernized;stay_away;emigrate_[CALIMA]	[intrans]	[-]	P:[I2MS]_[CS:-]_[CT:-]_[CF:enc0:2*]	X:[I]_[CS:intrans]_[CT:-]_[CF:#-A+#-A'+#-a>+#-aY+#-iy+#-iy'+#-uw+#-uw'+h-pref+yA-#+ya-#+yu-#]	S:[I2MS]_[CS:n-suff+z-suff]_[CT:-]_[CF:-]	pos:verb asp:i vox:a per:2 gen:m num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	OK M0 FSE0 PS0 PP0	0
4	OK-ONE	1	VERB.I2FS.AI	Aitogar~ab	تِتْغَرَّبِي	titogar~abiy	3723			None	[togar~ab]	t/IV2FS+i/STEM+togar~ab/IV+iy/IVSUFF_SUBJ:2FS	be_westernized;stay_away;emigrate_[CALIMA]	[intrans]	[-]	P:[I2FS]_[CS:-]_[CT:-]_[CF:enc0:2*]	X:[I]_[CS:intrans]_[CT:-]_[CF:#-A+#-A'+#-a>+#-aY+#-iy+#-iy'+#-uw+#-uw'+h-pref+yA-#+ya-#+yu-#]	S:[I2FS]_[CS:#^V+v-suff+y-suff]_[CT:-]_[CF:-]	pos:verb asp:i vox:a per:2 gen:f num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	OK M0 FSE0 PS0 PP0	1
5	OK-ONE	1	VERB.I2P.AI	Aitogar~ab	تِتْغَرَّبُوا	titogar~abuwA	3723			None	[togar~ab]	t/IV2P+i/STEM+togar~ab/IV+uwA/IVSUFF_SUBJ:2P	be_westernized;stay_away;emigrate_[CALIMA]	[intrans]	[-]	P:[I2P]_[CS:-]_[CT:-]_[CF:enc0:2*]	X:[I]_[CS:intrans]_[CT:-]_[CF:#-A+#-A'+#-a>+#-aY+#-iy+#-iy'+#-uw+#-uw'+h-pref+yA-#+ya-#+yu-#]	S:[I2P]_[CS:#^V+v-suff+w-suff]_[CT:-]_[CF:enc0||enc1||enc2]	pos:verb asp:i vox:a per:2 gen:u num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	OK M0 FSE0 PS0 PP0	0
6	OK-ONE	1	VERB.I3MS.AI	Aitogar~ab	يِتْغَرَّب	yitogar~ab	3723			None	[togar~ab]	y/IV3MS+i/STEM+togar~ab/IV+(null)/IVSUFF_SUBJ:3MS	be_westernized;stay_away;emigrate_[CALIMA]	[intrans]	[-]	P:[I3MS]_[CS:-]_[CT:-]_[CF:-]	X:[I]_[CS:intrans]_[CT:-]_[CF:#-A+#-A'+#-a>+#-aY+#-iy+#-iy'+#-uw+#-uw'+h-pref+yA-#+ya-#+yu-#]	S:[I3MS]_[CS:n-suff+z-suff]_[CT:-]_[CF:-]	pos:verb asp:i vox:a per:3 gen:m num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	OK M0 FSE0 PS0 PP0	1
7	OK-ONE	1	VERB.I3FS.AI	Aitogar~ab	تِتْغَرَّب	titogar~ab	3723			None	[togar~ab]	t/IV3FS+i/STEM+togar~ab/IV+(null)/IVSUFF_SUBJ:3FS	be_westernized;stay_away;emigrate_[CALIMA]	[intrans]	[-]	P:[I3FS]_[CS:-]_[CT:-]_[CF:-]	X:[I]_[CS:intrans]_[CT:-]_[CF:#-A+#-A'+#-a>+#-aY+#-iy+#-iy'+#-uw+#-uw'+h-pref+yA-#+ya-#+yu-#]	S:[I3FS]_[CS:n-suff+z-suff]_[CT:-]_[CF:-]	pos:verb asp:i vox:a per:3 gen:f num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	OK M0 FSE0 PS0 PP0	0
8	OK-ONE	1	VERB.I3P.AI	Aitogar~ab	يِتْغَرَّبُوا	yitogar~abuwA	3723			None	[togar~ab]	y/IV3P+i/STEM+togar~ab/IV+uwA/IVSUFF_SUBJ:3P	be_westernized;stay_away;emigrate_[CALIMA]	[intrans]	[-]	P:[I3P]_[CS:-]_[CT:-]_[CF:-]	X:[I]_[CS:intrans]_[CT:-]_[CF:#-A+#-A'+#-a>+#-aY+#-iy+#-iy'+#-uw+#-uw'+h-pref+yA-#+ya-#+yu-#]	S:[I3P]_[CS:#^V+v-suff+w-suff]_[CT:-]_[CF:enc0||enc1||enc2]	pos:verb asp:i vox:a per:3 gen:u num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	OK M0 FSE0 PS0 PP0	1
9	OK-ZERO-E0-INTRANS	0	VERB.I1S.AI.E0	Aitogar~ab			3723			None	[togar~ab]			[intrans]	[-]					FSE0 PP0 PS0	0
10	OK-ZERO-E0-INTRANS	0	VERB.I1P.AI.E0	Aitogar~ab			3723			None	[togar~ab]			[intrans]	[-]					FSE0 PP0 PS0	1
11	OK-ZERO-E0-INTRANS	0	VERB.I2MS.AI.E0	Aitogar~ab			3723			None	[togar~ab]			[intrans]	[-]					FSE0 PP0 PS0	0
12	OK-ZERO-E0-INTRANS	0	VERB.I2FS.AI.E0	Aitogar~ab			3723			None	[togar~ab]			[intrans]	[-]					FSE0 PP0 PS0	1
13	OK-ZERO-E0-INTRANS	0	VERB.I2P.AI.E0	Aitogar~ab			3723			None	[togar~ab]			[intrans]	[-]					FSE0 PP0 PS0	0
14	OK-ZERO-E0-INTRANS	0	VERB.I3MS.AI.E0	Aitogar~ab			3723			None	[togar~ab]			[intrans]	[-]					FSE0 PP0 PS0	1
15	OK-ZERO-E0-INTRANS	0	VERB.I3FS.AI.E0	Aitogar~ab			3723			None	[togar~ab]			[intrans]	[-]					FSE0 PP0 PS0	0
