ID,lemma,pos,lemmatizedGloss,Arabic Lemma,,ROOT,Len,ROOT-#,AMBIG SET
16820,IiynAE_1,noun,ripening;mellowing,إِيناع,3,ينع,3,#نع,ينع
12660,OayonaE_1,verb,ripen;mellow;be_ripened;be_mellowed,أَيْنَع,3,ينع,3,#نع,ينع
6136,yanaE-ai_1,verb,ripen;mellow,يَنَع-َِ,3,ينع,3,#نع,ينع
10744,yAniE_1,adj,ripe;mellow,يانِع,3,ينع,3,#نع,ينع
12328,yaniyE_1,adj,ripe;mellow,يَنِيع,3,ينع,3,#نع,ينع
12716,yanoE_1,noun,ripening;mellowing,يَنْع,3,ينع,3,#نع,ينع
6216,yunuwE_1,noun,ripening;mellowing,يُنُوع,3,ينع,3,#نع,ينع
8891,Lisotayoqan_1,verb,ascertain;be_convinced,ٱِسْتَيْقَن,3,يقن,3,#قن,يقن
13181,miyqAn_1,noun,credulous,مِيقان,3,يقن,3,#قن,يقن
12875,mut~aqin_1,adj,confident,مُتَّقِن,3,يقن,3,#قن,يقن
9599,mutayaq~in_1,adj,convinced;certain,مُتَيَقِّن,3,يقن,3,#قن,يقن
13355,muwqin_1,adj,convinced;certain;sure,مُوقِن,3,يقن,3,#قن,يقن
12656,Oayoqan_1,verb,ascertain;be_convinced,أَيْقَن,3,يقن,3,#قن,يقن
10266,tayaq~an_1,verb,ascertain;be_convinced,تَيَقَّن,3,يقن,3,#قن,يقن
9155,yaqin_1,noun,credulous;ingenuous,يَقِن,3,يقن,3,#قن,يقن
11167,yaqin-a_1,verb,be_sure;know_for_certain,يَقِن-َ,3,يقن,3,#قن,يقن
12331,yaqiyn_1,noun,certainty;certitude;conviction,يَقِين,3,يقن,3,#قن,يقن
12324,yaqiyn_2,adj,convinced,يَقِين,3,يقن,3,#قن,يقن
9159,yaqiyniy~_1,adj,indisputable;certain,يَقِينِيّ,3,يقن,3,#قن,يقن
9160,yaqiyniy~_1,noun,indisputable_fact;established_truth,يَقِينِيّ,3,يقن,3,#قن,يقن
12715,yaqon_1,noun,certainty,يَقْن,3,يقن,3,#قن,يقن
11170,yafoTap_1,noun,placard;sign,يَفْطَة,3,يفط,3,#فط,يفط
9759,yAfuwx_1,noun,vertex;crown_of_the_head;vertexes;crown_of_head,يافُوخ,3,يفخ,3,#فخ,يفخ
6143,yacomaq_1,noun,veil,يَشْمَق,4,يشمق,4,#شمق,يشمق
6146,yasomiyn_1,noun_prop,Yasmin;Yasmeen;Jasmine,يَسْمِين,4,يسمن,4,#سمن,يسمن
6191,yasomiyn_2,noun,jasmine,يَسْمِين,4,يسمن,4,#سمن,يسمن
9154,yazakiy~_1,noun,guard;sentry,يَزَكِيّ,3,يزك,3,#زك,يزك
6149,yaromuwkiy~_1,adj,from/of_Yarmouk,يَرْمُوكِيّ,4,يرمك,4,#رمك,يرمك
11174,yaxonap_1,noun,ragout;meat_and_vegetable_stew,يَخْنَة,3,يخن,3,#خن,يخن
6145,yaxoniy~_1,adj,ragout;meat_and_vegetable_stew,يَخْنِيّ,3,يخن,3,#خن,يخن
12707,yaxot_1,noun,yacht,يَخْت,3,يخت,3,#خت,يخت
13182,miyHAr_1,noun,scepter;mallet,مِيحار,3,يحر,3,#حر,يحر
12661,Oayobas_1,verb,make_dry;desiccate;be_dried;be_desiccated,أَيْبَس,3,يبس,3,#بس,يبس
9749,yab~as_1,verb,make_dry;desiccate,يَبَّس,3,يبس,3,#بس,يبس
9157,yabis_1,adj,dried_out;desiccated,يَبِس,3,يبس,3,#بس,يبس
10745,yAbis_1,adj,dried_out;desiccated,يابِس,3,يبس,3,#بس,يبس
11162,yabis-a_1,verb,become_dry,يَبِس-َ,3,يبس,3,#بس,يبس
6127,yAbisap_1,noun,earth;land;ground;terra_firma,يابِسَة,3,يبس,3,#بس,يبس
12714,yabos_1,noun,dryness,يَبْس,3,يبس,3,#بس,يبس
6217,yubuwsap_1,noun,dryness,يُبُوسَة,3,يبس,3,#بس,يبس
5968,wAHap_1,noun,oasis;oas,واحَة,3,ووح,3,##ح,ووح|ويح
6016,wayoH_1,noun,woe_unto,وَيْح,3,ويح,3,##ح,ووح|ويح
12927,OawohaY_1,verb,weaken;debilitate;be_weakened;be_debilitated,أَوْهَى,3,وهي,3,#ه#,وهي
12686,wahaY-i_1,verb,be_frail;be_fragile,وَهَى-ِ,3,وهي,3,#ه#,وهي
12955,wAhiy_1,adj,feeble;fragile;flimsy,واهِي,3,وهي,3,#ه#,وهي
8233,wahiy-a_1,verb,be_frail;be_fragile,وَهِي-َ,3,وهي,3,#ه#,وهي
14712,mawohin_1,noun,deep_of_the_night,مَوْهِن,3,وهن,3,#هن,وهن
22180,Oawohan_1,verb,weaken;discourage;be_weakened;be_discouraged,أَوْهَن,3,وهن,3,#هن,وهن
20501,wah~an_1,verb,weaken;discourage,وَهَّن,3,وهن,3,#هن,وهن
21731,wahan-i_1,verb,be_weak;lack_the_strength_for,وَهَن-ِ,3,وهن,3,#هن,وهن
20206,wAhin_1,adj,feeble;debilitated;despondent,واهِن,3,وهن,3,#هن,وهن
20567,wahiyn_1,noun,foreman;overseer,وَهِين,3,وهن,3,#هن,وهن
23706,wahon_1,noun,weakness;feebleness,وَهْن,3,وهن,3,#هن,وهن
23680,wahon_2,noun,weak;feeble,وَهْن,3,وهن,3,#هن,وهن
11160,wahun-u_1,verb,be_weak;lack_the_strength_for,وَهُن-ُ,3,وهن,3,#هن,وهن
16822,IiyhAm_1,noun,deception;delusion,إِيهام,3,وهم,3,#هم,وهم
13653,Lit~ihAm_1,noun,accusation;charge;indictment,ٱِتِّهام,3,وهم,3,#هم,وهم
8896,Lit~ihAmiy~_1,adj,accusing;indicting,ٱِتِّهامِيّ,3,وهم,3,#هم,وهم
6958,mawohuwm_1,adj,imagined;imaginary,مَوْهُوم,3,وهم,3,#هم,وهم
6977,mut~aham_1,noun,accused;indicted;suspect,مُتَّهَم,3,وهم,3,#هم,وهم
6978,mut~aham_1,adj,accused;indicted;suspected,مُتَّهَم,3,وهم,3,#هم,وهم
6979,mut~ahim_1,adj,accusing,مُتَّهِم,3,وهم,3,#هم,وهم
6980,mut~ahim_1,noun,accuser,مُتَّهِم,3,وهم,3,#هم,وهم
19851,tawah~am_1,verb,be_under_delusion;be_persuaded,تَوَهَّم,3,وهم,3,#هم,وهم
15933,tawah~um_1,noun,imagination;suspicion,تَوَهُّم,3,وهم,3,#هم,وهم
21701,waham-i_1,verb,imagine;suppose,وَهَم-ِ,3,وهم,3,#هم,وهم
8209,wAhim_1,adj,wrong;mistaken;deluded;misled,واهِم,3,وهم,3,#هم,وهم
8210,wAhim_1,noun,wrong;mistaken;deluded;misled,واهِم,3,وهم,3,#هم,وهم
14325,wahim-a_1,verb,be_deluded,وَهِم-َ,3,وهم,3,#هم,وهم
10729,wAhimap_1,noun,imagination;delusion,واهِمَة,3,وهم,3,#هم,وهم
23719,wahom_1,noun,delusion;imagination,وَهْم,3,وهم,3,#هم,وهم
12968,wahomiy~_1,adj,imagined;imaginary;fake;bogus,وَهْمِيّ,3,وهم,3,#هم,وهم
11145,wahomiy~ap_1,noun,conjecture;delusion,وَهْمِيَّة,3,وهم,3,#هم,وهم
23660,wahoq_1,noun,lasso,وَهْق,3,وهق,3,#هق,وهق
20510,wah~ar_1,verb,disconcert;frighten,وَهَّر,3,وهر,3,#هر,وهر
21710,wahar-i_1,verb,disconcert;frighten,وَهَر-ِ,3,وهر,3,#هر,وهر
23726,wahor_1,noun,disconcerting;frightening,وَهْر,3,وهر,3,#هر,وهر
9741,wahorAn_1,noun_prop,Oran_(Alg.);Wahran,وَهْران,3,وهر,3,#هر,وهر
18614,wahorap_1,noun,consternation;fear,وَهْرَة,3,وهر,3,#هر,وهر
22148,Oawohad_1,noun,low-lying;depressed,أَوْهَد,3,وهد,3,#هد,وهد|يهد
20491,wah~ad_1,verb,level;prepare,وَهَّد,3,وهد,3,#هد,وهد|يهد
23701,wahod_1,noun,lowland;depression,وَهْد,3,وهد,3,#هد,وهد|يهد
18628,wahodap_1,noun,depression;lowland;precipice,وَهْدَة,3,وهد,3,#هد,وهد|يهد
9762,yahuwdiy~_1,adj,Jewish,يَهُودِيّ,3,يهد,3,#هد,وهد|يهد
9763,yahuwdiy~_1,noun,Jew;Jews,يَهُودِيّ,3,يهد,3,#هد,وهد|يهد
6151,yahuwdiy~ap_1,noun,Judaism,يَهُودِيَّة,3,يهد,3,#هد,وهد|يهد
22169,Oawohaj_1,verb,kindle;light;be_kindled;be_set_afire,أَوْهَج,3,وهج,3,#هج,وهج
19813,tawah~aj_1,verb,glow;burn,تَوَهَّج,3,وهج,3,#هج,وهج
13393,wah~Aj_1,noun,glowing;burning,وَهّاج,3,وهج,3,#هج,وهج
18246,wahaj_1,noun,blaze;fire,وَهَج,3,وهج,3,#هج,وهج
21683,wahaj-i_1,verb,glow;burn,وَهَج-ِ,3,وهج,3,#هج,وهج
10718,wahajAn_1,noun,fire;blaze;glow,وَهَجان,3,وهج,3,#هج,وهج
20561,wahiyj_1,noun,blaze;fire;glare,وَهِيج,3,وهج,3,#هج,وهج
11623,winoc_1,noun,winch;crane,وِنْش,3,ونش,3,#نش,ونش
21699,wamaq-i_1,verb,love_tenderly,وَمَق-ِ,3,ومق,3,#مق,ومق
23683,wamoq_1,noun,tender_love,وَمْق,3,ومق,3,#مق,ومق
22172,OawomaD_1,verb,glow;light_up;wink;be_lit_up;be_winked,أَوْمَض,3,ومض,3,#مض,ومض
21688,wamaD-i_1,verb,flash;gleam,وَمَض-ِ,3,ومض,3,#مض,ومض
10720,wamaDAn_1,noun,flashing;gleaming,وَمَضان,3,ومض,3,#مض,ومض
20580,wamiyD_1,noun,blinking;sparkle;twinkle,وَمِيض,3,ومض,3,#مض,ومض
18596,wamoDap_1,noun,flash,وَمْضَة,3,ومض,3,#مض,ومض
14844,wamid_1,adj,sultry;muggy,وَمِد,3,ومد,3,#مد,ومد
14845,wamid_1,noun,sultry;muggy,وَمِد,3,ومد,3,#مد,ومد
11615,walowal_1,verb,wail;lament,وَلْوَل,4,ولول,4,#ل#ل,ولول
11150,walowalap_1,noun,wailing;lamentation,وَلْوَلَة,4,ولول,4,#ل#ل,ولول
10270,walag-a_1,verb,lick;lap;defile,وَلَغ-َ,3,ولغ,3,#لغ,ولغ
23724,walog_1,noun,licking;lapping;defiling,وَلْغ,3,ولغ,3,#لغ,ولغ
14041,wuluwg_1,noun,licking;lapping;defiling,وُلُوغ,3,ولغ,3,#لغ,ولغ
11903,muwlaE_1,noun,enamored;passionate,مُولَع,3,ولع,3,#لع,ولع
22193,OawolaE_1,verb,kindle;light;set_fire_to;be_kindled;be_lit;be_set_afire,أَوْلَع,3,ولع,3,#لع,ولع
22150,OawolaE_2,verb,be_enamored;fall_in_love,أَوْلَع,3,ولع,3,#لع,ولع
19850,tawal~aE_1,verb,catch_fire;burn;be_enthusiastic,تَوَلَّع,3,ولع,3,#لع,ولع
15919,tawal~uE_1,noun,passion,تَوَلُّع,3,ولع,3,#لع,ولع
20520,wal~aE_1,verb,kindle;light;set_fire_to,وَلَّع,3,ولع,3,#لع,ولع
8213,wal~AEap_1,noun,lighter,وَلّاعَة,3,ولع,3,#لع,ولع
18261,walaE_1,noun,passion;enthusiasm,وَلَع,3,ولع,3,#لع,ولع
14840,waliE_1,adj,passionate,وَلِع,3,ولع,3,#لع,ولع
14323,waliE-a_1,verb,burn,وَلِع-َ,3,ولع,3,#لع,ولع
10281,waluwE_1,noun,desire;greed,وَلُوع,3,ولع,3,#لع,ولع
23661,waloT_1,noun,volt,وَلْط,3,ولط,3,#لط,ولط
1640,EabodAlwaliyd_1,noun_prop,Abdel_Waleed,عَبْدالوَلِيد,3,ولد,3,#لد,ولد
13569,lidap_1,noun,childbirth;birth,لِدَة,3,ولد,3,#لد,ولد
13567,lidap_2,noun,contemporary,لِدَة,3,ولد,3,#لد,ولد
11432,LisotiylAd_1,noun,generation;production,ٱِسْتِيلاد,3,ولد,3,#لد,ولد
14723,mawolid_1,noun,birthday;birthplace;age_class;age_group,مَوْلِد,3,ولد,3,#لد,ولد
14718,mawolid_2,noun_prop,Mawlid_(Prophet's_Birthday),مَوْلِد,3,ولد,3,#لد,ولد
16907,mawoluwd_1,noun,newborn_infant,مَوْلُود,3,ولد,3,#لد,ولد
16905,mawoluwd_2,adj,born_in/on,مَوْلُود,3,ولد,3,#لد,ولد
13190,miylAd_1,noun,birthday;birth;Christmas;Christian_Era,مِيلاد,3,ولد,3,#لد,ولد
13178,miylAd_2,noun_prop,Milad,مِيلاد,3,ولد,3,#لد,ولد
7605,miylAdiy~_1,adj,A.D.;Christian_Era,مِيلادِيّ,3,ولد,3,#لد,ولد
16408,muwal~ad_1,adj,born,مُوَلَّد,3,ولد,3,#لد,ولد
16409,muwal~ad_1,noun,born,مُوَلَّد,3,ولد,3,#لد,ولد
16422,muwal~ad_2,noun,mixed-blood;non-native,مُوَلَّد,3,ولد,3,#لد,ولد
15673,muwal~id_1,adj,producing;generating,مُوَلِّد,3,ولد,3,#لد,ولد
15675,muwal~id_1,noun,producing;generating;generator,مُوَلِّد,3,ولد,3,#لد,ولد
7719,muwal~idap_1,noun,midwife,مُوَلِّدَة,3,ولد,3,#لد,ولد
19840,tawal~ad_1,verb,be_generated;be_produced,تَوَلَّد,3,ولد,3,#لد,ولد
15935,tawal~ud_1,noun,generation;production,تَوَلُّد,3,ولد,3,#لد,ولد
14831,tawAlad_1,verb,propagate;reproduce,تَوالَد,3,ولد,3,#لد,ولد
12299,tawAlud_1,noun,reproduction;propagation,تَوالُد,3,ولد,3,#لد,ولد
17238,tawoliyd_1,noun,production;generation,تَوْلِيد,3,ولد,3,#لد,ولد
17225,tawoliyd_2,noun,procreation,تَوْلِيد,3,ولد,3,#لد,ولد
20498,wal~ad_1,verb,generate;produce,وَلَّد,3,ولد,3,#لد,ولد
8214,wal~Adap_1,noun,productive;fertile,وَلّادَة,3,ولد,3,#لد,ولد
18244,walad_1,noun,child;son,وَلَد,3,ولد,3,#لد,ولد
21722,walad-i_1,verb,give_birth_to;be_born,وَلَد-ِ,3,ولد,3,#لد,ولد
20211,wAlid_1,noun,father;parent;father_and_mother;mother,والِد,3,ولد,3,#لد,ولد
8226,wAlidiy~_1,adj,parental,والِدِيّ,3,ولد,3,#لد,ولد
20548,waliyd_1,noun_prop,Walid;Waleed,وَلِيد,3,ولد,3,#لد,ولد
20573,waliyd_2,noun,result;product;child,وَلِيد,3,ولد,3,#لد,ولد
14871,waliydap_1,noun,result;product;child,وَلِيدَة,3,ولد,3,#لد,ولد
5978,walodanap_1,noun,childhood;puerility,وَلْدَنَة,3,ولد,3,#لد,ولد
18607,walodap_1,noun,childbirth,وَلْدَة,3,ولد,3,#لد,ولد
10282,waluwd_1,noun,productive;fertile,وَلُود,3,ولد,3,#لد,ولد
12705,wilAdap_1,noun,birth;childbearing;parturition,وِلادَة,3,ولد,3,#لد,ولد
10286,wilAdiy~_1,adj,birth;childbearing,وِلادِيّ,3,ولد,3,#لد,ولد
8260,wulayod_1,noun,little_child,وُلَيْد,3,ولد,3,#لد,ولد
9145,wuluwdiy~ap_1,noun,childishness;puerility,وُلُودِيَّة,3,ولد,3,#لد,ولد
16833,IiylAj_1,noun,insertion;intromission;intercalation,إِيلاج,3,ولج,3,#لج,ولج
13571,lijap_1,noun,entering;penetration,لِجَة,3,ولج,3,#لج,ولج
14707,mawolij_1,noun,entrance,مَوْلِج,3,ولج,3,#لج,ولج
22195,Oawolaj_1,verb,insert;introduce;thrust;be_inserted;be_introduced;be_thrusted,أَوْلَج,3,ولج,3,#لج,ولج
19818,tawal~aj_1,verb,enter;engage_in,تَوَلَّج,3,ولج,3,#لج,ولج
21704,walaj-i_1,verb,enter;penetrate,وَلَج-ِ,3,ولج,3,#لج,ولج
14874,waliyjap_1,noun,intimate_friend;confidant,وَلِيجَة,3,ولج,3,#لج,ولج
14040,wuluwj_1,noun,entering;penetration,وُلُوج,3,ولج,3,#لج,ولج
23666,wakon_1,noun,nest,وَكْن,3,وكن,3,#كن,وكن
9140,wukonap_1,noun,nest,وُكْنَة,3,وكن,3,#كن,وكن
10124,miykaEap_1,noun,plowshare,مِيكَعَة,3,وكع,3,#كع,وكع
12310,wakAEap_1,noun,being_strong;strength,وَكاعَة,3,وكع,3,#كع,وكع
5984,wakuE-a_1,verb,be_sturdy;be_strong,وَكُع-َ,3,وكع,3,#كع,وكع
20483,wak~as_1,verb,depreciate,وَكَّس,3,وكس,3,#كس,وكس
21725,wakas-i_1,verb,depreciate;suffer_losses,وَكَس-ِ,3,وكس,3,#كس,وكس
23716,wakos_1,noun,depreciation;decline,وَكْس,3,وكس,3,#كس,وكس
18627,wakosap_1,noun,drop_in_value;depreciation,وَكْسَة,3,وكس,3,#كس,وكس
21707,wakaz-i_1,verb,punch;push;pierce,وَكَز-ِ,3,وكز,3,#كز,وكز
23728,wakoz_1,noun,punching;pushing;piercing,وَكْز,3,وكز,3,#كز,وكز
14716,mawokib_1,noun,parade;procession,مَوْكِب,3,وكب,3,#كب,وكب
14710,mawokib_2,noun,escort;convoy,مَوْكِب,3,وكب,3,#كب,وكب
6735,mutawAkib_1,adj,simultaneously;at_the_same_time_(a);going_with;matching,مُتَواكِب,3,وكب,3,#كب,وكب
6843,muwAkabap_1,noun,escorting,مُواكَبَة,3,وكب,3,#كب,وكب
6844,muwAkabap_2,noun,accompanying;keeping_pace_with,مُواكَبَة,3,وكب,3,#كب,وكب
14821,tawAkab_1,verb,go_with;match,تَواكَب,3,وكب,3,#كب,وكب
14019,wAkab_1,verb,accompany;escort,واكَب,3,وكب,3,#كب,وكب
21727,wakab-i_1,verb,walk_slowly;proceed_slowly,وَكَب-ِ,3,وكب,3,#كب,وكب
10723,wakabAn_1,noun,walking_slowly;proceeding_slowly,وَكَبان,3,وكب,3,#كب,وكب
23733,wakob_1,noun,walking_slowly;proceeding_slowly,وَكْب,3,وكب,3,#كب,وكب
14045,wukuwb_1,noun,walking_slowly;proceeding_slowly,وُكُوب,3,وكب,3,#كب,وكب
3555,Lit~akaO_1,verb,lean;recline;be_supported,ٱِتَّكَأ,3,وكء,3,#ك#,وكء|وكي
3559,Lit~ikAC_1,noun,resting;leaning;reclining,ٱِتِّكاء,3,وكء,3,#ك#,وكء|وكي
7693,mut~akaO_1,noun,support;prop,مُتَّكَأ,3,وكء,3,#ك#,وكء|وكي
7694,mut~akaO_2,noun,cushion;couch,مُتَّكَأ,3,وكء,3,#ك#,وكء|وكي
4116,mut~akiQ_1,noun,leaning;resting,مُتَّكِئ,3,وكء,3,#ك#,وكء|وكي
8140,tawak~aO_1,verb,lean;recline;be_supported,تَوَكَّأ,3,وكء,3,#ك#,وكء|وكي
8146,tawak~uW_1,noun,resting;leaning;reclining,تَوَكُّؤ,3,وكء,3,#ك#,وكء|وكي
5864,tukaOap_1,noun,support;prop;staff,تُكَأَة,3,وكء,3,#ك#,وكء|وكي
12685,wakaY-i_1,verb,tie_up;be_tied_up,وَكَى-ِ,3,وكي,3,#ك#,وكء|وكي
9137,wikAC_1,noun,string;thong,وِكاء,3,وكي,3,#ك#,وكء|وكي
3556,Lit~aqaY_1,verb,beware;be_on_guard,ٱِتَّقَى,3,وقي,3,#ق#,وقي
