LINE	STATUS	COUNT	SIGNATURE	LEMMA	DIAC_AR	DIAC	FREQ	QC	COMMENTS	PATTERN	STEM	BW	GLOSS	COND-S	COND-T	PREF-CAT	STEM-CAT	SUFF-CAT	FEATS	DEBUG	COLOR
1	OK-ONE	1	VERB.P1S.AI	jalas	جَلَست	jalast	578			1a2a3	[jalas]	jalas/PV+t/PVSUFF_SUBJ:1S	[MEERA]#to#sit+[KEV]#to#sit#down+[KEV]#to#sit#on,#e.g.,#a#chair,#at#a#table+to#sit#down	[intrans]	[-]	P:[P]_[CS:-]_[CT:-]_[CF:-]	X:[P]_[CS:intrans]_[CT:-]_[CF:-]	S:[P]_[CS:c-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-ay+#-iy+#t+gem]	pos:verb asp:p vox:a per:1 gen:u num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	OK M0	0
2	OK-ONE	1	VERB.P1P.AI	jalas	جَلَسنا	jalasnA	578			1a2a3	[jalas]	jalas/PV+nA/PVSUFF_SUBJ:1P	[MEERA]#to#sit+[KEV]#to#sit#down+[KEV]#to#sit#on,#e.g.,#a#chair,#at#a#table+to#sit#down	[intrans]	[-]	P:[P]_[CS:-]_[CT:-]_[CF:-]	X:[P]_[CS:intrans]_[CT:-]_[CF:-]	S:[P]_[CS:c-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-ay+#-iy+#n+enc0:1*+gem]	pos:verb asp:p vox:a per:1 gen:u num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	OK M0	1
3	OK-ONE	1	VERB.P2MS.AI	jalas	جَلَست	jalast	578			1a2a3	[jalas]	jalas/PV+t/PVSUFF_SUBJ:2MS	[MEERA]#to#sit+[KEV]#to#sit#down+[KEV]#to#sit#on,#e.g.,#a#chair,#at#a#table+to#sit#down	[intrans]	[-]	P:[P]_[CS:-]_[CT:-]_[CF:-]	X:[P]_[CS:intrans]_[CT:-]_[CF:-]	S:[P]_[CS:c-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-ay+#-iy+#t+enc0:2*+gem]	pos:verb asp:p vox:a per:2 gen:m num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	OK M0	0
4	OK-ONE	1	VERB.P2FS.AI	jalas	جَلَستِي	jalastiy	578			1a2a3	[jalas]	jalas/PV+ti/PVSUFF_SUBJ:2FS	[MEERA]#to#sit+[KEV]#to#sit#down+[KEV]#to#sit#on,#e.g.,#a#chair,#at#a#table+to#sit#down	[intrans]	[-]	P:[P]_[CS:-]_[CT:-]_[CF:-]	X:[P]_[CS:intrans]_[CT:-]_[CF:-]	S:[P]_[CS:c-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-ay+#-iy+#t+enc0:2*+gem]	pos:verb asp:p vox:a per:2 gen:f num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	OK M0	1
5	OK-ONE	1	VERB.P2P.AI	jalas	جَلَستُوا	jalastuwA	578			1a2a3	[jalas]	jalas/PV+tuwA/PVSUFF_SUBJ:2P	[MEERA]#to#sit+[KEV]#to#sit#down+[KEV]#to#sit#on,#e.g.,#a#chair,#at#a#table+to#sit#down	[intrans]	[-]	P:[P]_[CS:-]_[CT:-]_[CF:-]	X:[P]_[CS:intrans]_[CT:-]_[CF:-]	S:[P]_[CS:c-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-ay+#-iy+#t+enc0+enc0:2*+gem]	pos:verb asp:p vox:a per:2 gen:u num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	OK M0	0
6	OK-ONE	1	VERB.P2FP.AI	jalas	جَلَستِن	jalastin	578			1a2a3	[jalas]	jalas/PV+tin/PVSUFF_SUBJ:2FP	[MEERA]#to#sit+[KEV]#to#sit#down+[KEV]#to#sit#on,#e.g.,#a#chair,#at#a#table+to#sit#down	[intrans]	[-]	P:[P]_[CS:-]_[CT:-]_[CF:-]	X:[P]_[CS:intrans]_[CT:-]_[CF:-]	S:[P]_[CS:c-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-ay+#-iy+enc0:2*+gem]	pos:verb asp:p vox:a per:2 gen:f num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	OK M0	1
7	OK-ONE	1	VERB.P3MS.AI	jalas	جَلَس	jalas	578			1a2a3	[jalas]	jalas/PV+(null)/PVSUFF_SUBJ:3MS	[MEERA]#to#sit+[KEV]#to#sit#down+[KEV]#to#sit#on,#e.g.,#a#chair,#at#a#table+to#sit#down	[intrans]	[-]	P:[P]_[CS:-]_[CT:-]_[CF:-]	X:[P]_[CS:intrans]_[CT:-]_[CF:-]	S:[P]_[CS:n-suff+z-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-ay+#-iy+gem]	pos:verb asp:p vox:a per:3 gen:m num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	OK M0	0
8	OK-ONE	1	VERB.P3FS.AI	jalas	جَلَسَت	jalasat	578			1a2a3	[jalas]	jalas/PV+at/PVSUFF_SUBJ:3FS	[MEERA]#to#sit+[KEV]#to#sit#down+[KEV]#to#sit#on,#e.g.,#a#chair,#at#a#table+to#sit#down	[intrans]	[-]	P:[P]_[CS:-]_[CT:-]_[CF:-]	X:[P]_[CS:intrans]_[CT:-]_[CF:-]	S:[P]_[CS:i-suff+v-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-ay+#-iy+gem]	pos:verb asp:p vox:a per:3 gen:f num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	OK M0	1
9	OK-ONE	1	VERB.P3P.AI	jalas	جَلَسَوا	jalasawA	578			1a2a3	[jalas]	jalas/PV+awA/PVSUFF_SUBJ:3P	[MEERA]#to#sit+[KEV]#to#sit#down+[KEV]#to#sit#on,#e.g.,#a#chair,#at#a#table+to#sit#down	[intrans]	[-]	P:[P]_[CS:-]_[CT:-]_[CF:-]	X:[P]_[CS:intrans]_[CT:-]_[CF:-]	S:[P]_[CS:v-suff+w-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-ay+#-iy+enc0+gem]	pos:verb asp:p vox:a per:3 gen:u num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	OK M0	0
10	OK-ZERO-E0-INTRANS	0	VERB.P1S.AI.E0	jalas			578			1a2a3	[jalas]			[intrans]	[-]					FSE0	1
11	OK-ZERO-E0-INTRANS	0	VERB.P1P.AI.E0	jalas			578			1a2a3	[jalas]			[intrans]	[-]					FSE0	0
12	OK-ZERO-E0-INTRANS	0	VERB.P2MS.AI.E0	jalas			578			1a2a3	[jalas]			[intrans]	[-]					FSE0	1
13	OK-ZERO-E0-INTRANS	0	VERB.P2FS.AI.E0	jalas			578			1a2a3	[jalas]			[intrans]	[-]					FSE0	0
14	OK-ZERO-E0-INTRANS	0	VERB.P2P.AI.E0	jalas			578			1a2a3	[jalas]			[intrans]	[-]					FSE0	1
15	OK-ZERO-E0-INTRANS	0	VERB.P2FP.AI.E0	jalas			578			1a2a3	[jalas]			[intrans]	[-]					FSE0	0
16	OK-ZERO-E0-INTRANS	0	VERB.P3MS.AI.E0	jalas			578			1a2a3	[jalas]			[intrans]	[-]					FSE0	1
17	OK-ZERO-E0-INTRANS	0	VERB.P3FS.AI.E0	jalas			578			1a2a3	[jalas]			[intrans]	[-]					FSE0	0
18	OK-ZERO-E0-INTRANS	0	VERB.P3P.AI.E0	jalas			578			1a2a3	[jalas]			[intrans]	[-]					FSE0	1
19	OK-ONE	1	VERB.P1S.AI	Earaf	عَرَفت	Earaft	1238			1a2a3	[Eara#f]	Eara#f/PV+t/PVSUFF_SUBJ:1S	[MEERA]#to#know+[KEV]#to#know+to#know#how#to+to#recognize+to#realize,#perceive,#see+to#figure#out,#find#out,#discover	[trans]	[-]	P:[P]_[CS:-]_[CT:-]_[CF:-]	X:[P]_[CS:trans]_[CT:-]_[CF:-]	S:[P]_[CS:c-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-ay+#-iy+#t+gem]	pos:verb asp:p vox:a per:1 gen:u num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 OK M0	0
20	OK-ONE	1	VERB.P1P.AI	Earaf	عَرَفنا	EarafnA	1238			1a2a3	[Eara#f]	Eara#f/PV+nA/PVSUFF_SUBJ:1P	[MEERA]#to#know+[KEV]#to#know+to#know#how#to+to#recognize+to#realize,#perceive,#see+to#figure#out,#find#out,#discover	[trans]	[-]	P:[P]_[CS:-]_[CT:-]_[CF:-]	X:[P]_[CS:trans]_[CT:-]_[CF:-]	S:[P]_[CS:c-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-ay+#-iy+#n+enc0:1*+gem]	pos:verb asp:p vox:a per:1 gen:u num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 OK M0	1
21	OK-ONE	1	VERB.P2MS.AI	Earaf	عَرَفت	Earaft	1238			1a2a3	[Eara#f]	Eara#f/PV+t/PVSUFF_SUBJ:2MS	[MEERA]#to#know+[KEV]#to#know+to#know#how#to+to#recognize+to#realize,#perceive,#see+to#figure#out,#find#out,#discover	[trans]	[-]	P:[P]_[CS:-]_[CT:-]_[CF:-]	X:[P]_[CS:trans]_[CT:-]_[CF:-]	S:[P]_[CS:c-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-ay+#-iy+#t+enc0:2*+gem]	pos:verb asp:p vox:a per:2 gen:m num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 OK M0	0
22	OK-ONE	1	VERB.P2FS.AI	Earaf	عَرَفتِي	Earaftiy	1238			1a2a3	[Eara#f]	Eara#f/PV+ti/PVSUFF_SUBJ:2FS	[MEERA]#to#know+[KEV]#to#know+to#know#how#to+to#recognize+to#realize,#perceive,#see+to#figure#out,#find#out,#discover	[trans]	[-]	P:[P]_[CS:-]_[CT:-]_[CF:-]	X:[P]_[CS:trans]_[CT:-]_[CF:-]	S:[P]_[CS:c-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-ay+#-iy+#t+enc0:2*+gem]	pos:verb asp:p vox:a per:2 gen:f num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 OK M0	1
23	OK-ONE	1	VERB.P2P.AI	Earaf	عَرَفتُوا	EaraftuwA	1238			1a2a3	[Eara#f]	Eara#f/PV+tuwA/PVSUFF_SUBJ:2P	[MEERA]#to#know+[KEV]#to#know+to#know#how#to+to#recognize+to#realize,#perceive,#see+to#figure#out,#find#out,#discover	[trans]	[-]	P:[P]_[CS:-]_[CT:-]_[CF:-]	X:[P]_[CS:trans]_[CT:-]_[CF:-]	S:[P]_[CS:c-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-ay+#-iy+#t+enc0+enc0:2*+gem]	pos:verb asp:p vox:a per:2 gen:u num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 OK M0	0
24	OK-ONE	1	VERB.P2FP.AI	Earaf	عَرَفتِن	Earaftin	1238			1a2a3	[Eara#f]	Eara#f/PV+tin/PVSUFF_SUBJ:2FP	[MEERA]#to#know+[KEV]#to#know+to#know#how#to+to#recognize+to#realize,#perceive,#see+to#figure#out,#find#out,#discover	[trans]	[-]	P:[P]_[CS:-]_[CT:-]_[CF:-]	X:[P]_[CS:trans]_[CT:-]_[CF:-]	S:[P]_[CS:c-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-ay+#-iy+enc0:2*+gem]	pos:verb asp:p vox:a per:2 gen:f num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 OK M0	1
25	OK-ONE	1	VERB.P3MS.AI	Earaf	عَرَف	Earaf	1238			1a2a3	[Eara#f]	Eara#f/PV+(null)/PVSUFF_SUBJ:3MS	[MEERA]#to#know+[KEV]#to#know+to#know#how#to+to#recognize+to#realize,#perceive,#see+to#figure#out,#find#out,#discover	[trans]	[-]	P:[P]_[CS:-]_[CT:-]_[CF:-]	X:[P]_[CS:trans]_[CT:-]_[CF:-]	S:[P]_[CS:n-suff+z-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-ay+#-iy+gem]	pos:verb asp:p vox:a per:3 gen:m num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 OK M0	0
26	OK-ONE	1	VERB.P3FS.AI	Earaf	عَرفَت	Earfat	1238			1a2a3	[Eara#f]	Eara#f/PV+at/PVSUFF_SUBJ:3FS	[MEERA]#to#know+[KEV]#to#know+to#know#how#to+to#recognize+to#realize,#perceive,#see+to#figure#out,#find#out,#discover	[trans]	[-]	P:[P]_[CS:-]_[CT:-]_[CF:-]	X:[P]_[CS:trans]_[CT:-]_[CF:-]	S:[P]_[CS:i-suff+v-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-ay+#-iy+gem]	pos:verb asp:p vox:a per:3 gen:f num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 OK M0	1
27	OK-ONE	1	VERB.P3P.AI	Earaf	عَرفَوا	EarfawA	1238			1a2a3	[Eara#f]	Eara#f/PV+awA/PVSUFF_SUBJ:3P	[MEERA]#to#know+[KEV]#to#know+to#know#how#to+to#recognize+to#realize,#perceive,#see+to#figure#out,#find#out,#discover	[trans]	[-]	P:[P]_[CS:-]_[CT:-]_[CF:-]	X:[P]_[CS:trans]_[CT:-]_[CF:-]	S:[P]_[CS:v-suff+w-suff]_[CT:-]_[CF:#-A'+#-a>+#-aA+#-ay+#-iy+enc0+gem]	pos:verb asp:p vox:a per:3 gen:u num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 OK M0	0
28	OK-ONE	1	VERB.P1S.AI.E0	Earaf	عَرَفتَه	Earaftah	1238			1a2a3	[Eara#f]	Eara#f/PV+t/PVSUFF_SUBJ:1S+ah/XVSUFF_DO:3MS	[MEERA]#to#know+[KEV]#to#know+to#know#how#to+to#recognize+to#realize,#perceive,#see+to#figure#out,#find#out,#discover	[trans]	[-]	P:[P]_[CS:-]_[CT:-]_[CF:-]	X:[P]_[CS:trans]_[CT:-]_[CF:-]	S:[P]_[CS:c-suff+enc0]_[CT:trans]_[CF:#-A'+#-a>+#-aA+#-ay+#-iy+#t+enc1+gem]	pos:verb asp:p vox:a per:1 gen:u num:s mod:i enc0:3ms_dobj prc0:0 prc1:0 prc2:0 prc3:0	FSE0 OK M0	1
29	OK-ONE	1	VERB.P1P.AI.E0	Earaf	عَرَفناَه	EarafnAah	1238			1a2a3	[Eara#f]	Eara#f/PV+nA/PVSUFF_SUBJ:1P+ah/XVSUFF_DO:3MS	[MEERA]#to#know+[KEV]#to#know+to#know#how#to+to#recognize+to#realize,#perceive,#see+to#figure#out,#find#out,#discover	[trans]	[-]	P:[P]_[CS:-]_[CT:-]_[CF:-]	X:[P]_[CS:trans]_[CT:-]_[CF:-]	S:[P]_[CS:c-suff+enc0]_[CT:trans]_[CF:#-A'+#-a>+#-aA+#-ay+#-iy+#n+enc0:1*+enc1+gem]	pos:verb asp:p vox:a per:1 gen:u num:p mod:i enc0:3ms_dobj prc0:0 prc1:0 prc2:0 prc3:0	FSE0 OK M0	0
