SIGNATURE	LEMMA	DIAC	QC	COMMENTS	STATUS
VERB.I1S.AE	|b-u	>a&uwbano	OK		
VERB.I1P.AE	|b-u	na&uwbano	OK		
VERB.I2MS.AE	|b-u	ta&uwbano	OK		
VERB.I2FS.AE	|b-u	ta&uwbino	OK		
VERB.I2D.AE	|b-u	ta&uwbAn~i	OK		
VERB.I2MP.AE	|b-u	ta&uwbuno	OK		
VERB.I2FP.AE	|b-u	ta&ubnAn~i	OK		
VERB.I3MS.AE	|b-u	ya&uwbano	OK		
VERB.I3FS.AE	|b-u	ta&uwbano	OK		
VERB.I3MD.AE	|b-u	ya&uwbAn~i	OK		
VERB.I3FD.AE	|b-u	ta&uwbAn~i	OK		
VERB.I3MP.AE	|b-u	ya&uwbuno	OK		
VERB.I3FP.AE	|b-u	ya&ubnAn~i	OK		
VERB.I1S.PE	|b-u	>u&Abano	OK		
VERB.I1P.PE	|b-u	nu&Abano	OK		
VERB.I2MS.PE	|b-u	tu&Abano	OK		
VERB.I2FS.PE	|b-u	tu&Abino	OK		
VERB.I2D.PE	|b-u	tu&AbAn~i	OK		
VERB.I2MP.PE	|b-u	tu&Abuno	OK		
VERB.I2FP.PE	|b-u	tu&abnAn~i	OK		
VERB.I3MS.PE	|b-u	yu&Abano	OK		
VERB.I3FS.PE	|b-u	tu&Abano	OK		
VERB.I3MD.PE	|b-u	yu&AbAn~i	OK		
VERB.I3FD.PE	|b-u	tu&AbAn~i	OK		
VERB.I3MP.PE	|b-u	yu&Abuno	OK		
VERB.I3FP.PE	|b-u	yu&abnAn~i	OK		
VERB.I1S.AE.E0	|b-u	>a&uwbanohu	OK		
VERB.I1P.AE.E0	|b-u	na&uwbanohu	OK		
VERB.I2MS.AE.E0	|b-u	ta&uwbanohu	OK		
VERB.I2FS.AE.E0	|b-u	ta&uwbinohu	OK		
VERB.I2D.AE.E0	|b-u	ta&uwbAn~ihi	OK		
VERB.I2MP.AE.E0	|b-u	ta&uwbunohu	OK		
