,NUM_ID,ID,STEM_MASK,LEMMA,FORM,POS,COND-T,GEN,NUM,SIGNATURE,QC,COMMENTS,NOUN,ADJ,ADJ_COMP
0,1,BP1,stem:0,حُبّ,[حُبّ],noun,[MS||MD],[-],[-],[MS||MD] [-] [-] stem:0,OK,,4644,0,205
1,2,BP2,stem:0,أَقْدَم,[أَقْدَم],noun,[MS||MD||MP],[-],[-],[MS||MD||MP] [-] [-] stem:0,OK~,All lemmas in this paradigm are ملحقات الجمع المذكر السالم,6,0,15
2,3,BP3,stem:0,ٱِمْتِحان,[ٱِمْتِحان],noun,[MS||MD||FP],[m],[-],[MS||MD||FP] [m] [-] stem:0,OK,,2955,0,0
3,4,BP4,stem:0-1,يَوْم,[يَوْم]-[أَيّام],noun,[MS||MD]-[MS],[-]-[m],[-]-[p],[MS||MD]-[MS] [-]-[m] [-]-[p] stem:0-1,OK,,4012,10,2
4,5,,stem:0-0,أَفَنْدِيّ,[أَفَنْدِيّ]-[أَفَنْدِيّ],noun,[MS||MD]-[FS],[-]-[m],[-]-[p],[MS||MD]-[FS] [-]-[m] [-]-[p] stem:0-0,OK,,52,0,0
5,6,BP5,stem:0-1,سُؤال,[سُؤال]-[أَسْئِل],noun,[MS||MD]-[FS],[-]-[m],[-]-[p],[MS||MD]-[FS] [-]-[m] [-]-[p] stem:0-1,OK,,226,0,0
6,7,BP7,stem:0-1,قَطْر,[قَطْر]-[قُطُور],noun,[MS||MD]-[FP],[-]-[m],[-]-[p],[MS||MD]-[FP] [-]-[m] [-]-[p] stem:0-1,OK,,14,0,0
7,8,BP8,stem:0,شُورَى,[شُورَى],noun,[MS||MD],[f],[-],[MS||MD] [f] [-] stem:0,OK,,95,0,0
8,9,BP9,stem:0,دُنْيا,[دُنْيا],noun,[MS||MD||FP],[f],[-],[MS||MD||FP] [f] [-] stem:0,OK,,60,4,0
9,10,BP10,stem:0-1,نار,[نار]-[نِيران],noun,[MS||MD]-[MS],[f]-[f],[-]-[p],[MS||MD]-[MS] [f]-[f] [-]-[p] stem:0-1,OK,,62,0,0
10,11,BP13,stem:0-1,بِنْت,[بِنْت]-[بَن],noun,[MS||MD]-[FP],[f]-[f],[-]-[p],[MS||MD]-[FP] [f]-[f] [-]-[p] stem:0-1,OK,,8,0,0
11,12,BP14,stem:0,خَواجَة,[خَواج],noun,[FS||FD||FP],[m],[-],[FS||FD||FP] [m] [-] stem:0,OK,,1,0,0
