,PATTERN_ABS,PATTERN_DEF,ROOT,ROOT_SUB,DEFINE,CLASS,PATTERN,LEMMA,LEMMA_SUB,FORM,FORM_SUB,BW,BW_SUB,GLOSS,FEAT,COND-T,COND-F,COND-S,MATCH,COMMENTS,STATUS
0,1a2a3,|3,>.w.3,>.w.\1,BACKOFF,[STEM-PV],>u3,lex:|3,lex:|\1,>u3,>u\1,>u3/PV,>u\1/PV,na,pos:verb asp:p vox:a mod:i,c-suff,,trans,^A([^wyA}&])$,5,
1,1a2a3,|3,>.w.3,>.w.\1,BACKOFF,[STEM-PV],|3,lex:|3,lex:|\1,|3,|\1,|3/PV,|\1/PV,na,pos:verb asp:p vox:a mod:i,v-suff,,trans,^A([^wyA}&])$,5,
2,1A2a3,|2aY,>.2.y,>.\1.y,BACKOFF,[STEM-PV],|2,lex:|2aY,lex:|\1aY,|2,|\1,|2/PV,|\1/PV,na,pos:verb asp:p vox:a mod:i,,,#-ay trans,^A([^wyA}&])$,5,
3,1A2a3,|2a3,>.2.3,>.\1.\2,BACKOFF,[STEM-PV],|2a3,lex:|2a3,lex:|\1a\2,|2a3,|\1a\2,|2a3/PV,|\1a\2/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^A([^wyA}&])([^ntwyA}&])$,16,
4,1A2a3,|2aY,>.2.w,>.\1.w,BACKOFF,[STEM-PV],|2,lex:|2aY,lex:|\1aY,|2,|\1,|2/PV,|\1/PV,na,pos:verb asp:p vox:a mod:i,,,#-ay trans,^A([^wyA}&])$,1,
5,1A2a3,|2a3,>.2.n,>.\1.n,BACKOFF,[STEM-PV],|2a3,lex:|2an,lex:|\1an,|2an,|\1an,|2an/PV,|\1an/PV,na,pos:verb asp:p vox:a mod:i,,,#n trans,^A([^wyA}&])n$,2,
6,1a2a3,|3,>.y.3,>.y.\1,BACKOFF,[STEM-PV],>a3,lex:|3,lex:|\1,>a3,>a\1,>a3/PV,>a\1/PV,na,pos:verb asp:p vox:a mod:i,c-suff,,trans,^A([^wyA}&])$,1,
7,1a2a3,|3,>.y.3,>.y.\1,BACKOFF,[STEM-PV],|3,lex:|3,lex:|\1,|3,|\1,|3/PV,|\1/PV,na,pos:verb asp:p vox:a mod:i,v-suff,,trans,^A([^wyA}&])$,2,
8,1A2a3,|2aY,w.2.y,w.\1.y,BACKOFF,[STEM-PV],|2,lex:|2aY,lex:|\1aY,|2,|\1,|2/PV,|\1/PV,na,pos:verb asp:p vox:a mod:i,,,#-ay trans,^A([^wyA}&])$,1,
9,1a2a3,|3,>.y.3,>.y.\1,BACKOFF,[STEM-PV],<i3,lex:|3,lex:|\1,<i3,<i\1,<i3/PV,<i\1/PV,na,pos:verb asp:p vox:a mod:i,c-suff,,trans,^A([^wyA}&])$,1,
10,1a2a3,|3,>.y.n,>.y.n,BACKOFF,[STEM-PV],>u3,lex:|n,lex:|n,>un,>un,>un/PV,>un/PV,na,pos:verb asp:p vox:a mod:i,c-suff,,#n trans,^An$,1,
11,1a2a3,|3,>.y.n,>.y.n,BACKOFF,[STEM-PV],|3,lex:|n,lex:|n,|n,|n,|n/PV,|n/PV,na,pos:verb asp:p vox:a mod:i,v-suff,,#n trans,^An$,2,
12,1a2a3,|3,>.y.n,>.y.n,BACKOFF,[STEM-PV],<i3,lex:|n,lex:|n,<in,<in,<in/PV,<in/PV,na,pos:verb asp:p vox:a mod:i,c-suff,,#n trans,^An$,1,
13,1A2a3,|waY,>.w.y,>.w.y,BACKOFF,[STEM-PV],|w,lex:|waY,lex:|waY,|w,|w,|w/PV,|w/PV,na,pos:verb asp:p vox:a mod:i,,,#-ay trans,^Aw$,1,
14,1a2a3,>a2~,>.2.3,>.\1.\1,BACKOFF,[STEM-PV],>a2a3,lex:>a2~,lex:>a\1~,>a2a3,>a\1a\1,>a2a3/PV,>a\1a\1/PV,na,pos:verb asp:p vox:a mod:i,c-suff,,gem trans,^A([^ntwyA}&])\1$,14,
15,1a2a3,>a2~,>.2.3,>.\1.\1,BACKOFF,[STEM-PV],>a2~,lex:>a2~,lex:>a\1~,>a2~,>a\1~,>a2~/PV,>a\1~/PV,na,pos:verb asp:p vox:a mod:i,v-suff,,gem trans,^A([^wyA}&])$,14,
16,>a1o2a3,>a1A',1.w.>,\1.w.>,BACKOFF,[STEM-PV],>a1,lex:>a1A',lex:>a\1A',>a1,>a\1,>a1/PV,>a\1/PV,na,pos:verb asp:p vox:a mod:i,,,#-A' trans,^A([^wyA}&])$,4,
17,>a1o2a3,>a1A3,1.y.t,\1.y.t,BACKOFF,[STEM-PV],>a1a3,lex:>a1At,lex:>a\1At,>a1at,>a\1at,>a1at/PV,>a\1at/PV,na,pos:verb asp:p vox:a mod:i,c-suff,,#t trans,^A([^wyA}&])t$,1,
18,>a1o2a3,>a1A3,1.y.t,\1.y.t,BACKOFF,[STEM-PV],>a1A3,lex:>a1At,lex:>a\1At,>a1At,>a\1At,>a1At/PV,>a\1At/PV,na,pos:verb asp:p vox:a mod:i,v-suff,,#t trans,^A([^wyA}&])At$,1,
19,>a1o2a3,>a1A3,1.w.3,\1.w.\2,BACKOFF,[STEM-PV],>a1a3,lex:>a1A3,lex:>a\1A\2,>a1a3,>a\1a\2,>a1a3/PV,>a\1a\2/PV,na,pos:verb asp:p vox:a mod:i,c-suff,,trans,^A([^wyA}&])([^ntwyA}&])$,62,
20,>a1o2a3,>a1A3,1.w.3,\1.w.\2,BACKOFF,[STEM-PV],>a1A3,lex:>a1A3,lex:>a\1A\2,>a1A3,>a\1A\2,>a1A3/PV,>a\1A\2/PV,na,pos:verb asp:p vox:a mod:i,v-suff,,trans,^A([^wyA}&])A([^ntwyA}&])$,62,
21,>a1o2a3,>a1A3,1.y.3,\1.y.\2,BACKOFF,[STEM-PV],>a1a3,lex:>a1A3,lex:>a\1A\2,>a1a3,>a\1a\2,>a1a3/PV,>a\1a\2/PV,na,pos:verb asp:p vox:a mod:i,c-suff,,trans,^A([^wyA}&])([^ntwyA}&])$,38,
22,>a1o2a3,>a1A3,1.y.3,\1.y.\2,BACKOFF,[STEM-PV],>a1A3,lex:>a1A3,lex:>a\1A\2,>a1A3,>a\1A\2,>a1A3/PV,>a\1A\2/PV,na,pos:verb asp:p vox:a mod:i,v-suff,,trans,^A([^wyA}&])A([^ntwyA}&])$,38,
23,>a1o2a3,>a1A3,1.y.n,\1.y.n,BACKOFF,[STEM-PV],>a1a3,lex:>a1An,lex:>a\1An,>a1an,>a\1an,>a1an/PV,>a\1an/PV,na,pos:verb asp:p vox:a mod:i,c-suff,,#n trans,^A([^wyA}&])n$,3,
24,>a1o2a3,>a1A3,1.y.n,\1.y.n,BACKOFF,[STEM-PV],>a1A3,lex:>a1An,lex:>a\1An,>a1An,>a\1An,>a1An/PV,>a\1An/PV,na,pos:verb asp:p vox:a mod:i,v-suff,,#n trans,^A([^wyA}&])An$,3,
25,>a1o2a3,>a1a2~,1.2.3,\1.\2.\2,BACKOFF,[STEM-PV],>a1o2a3,lex:>a1a2~,lex:>a\1a\2~,>a1o2a3,>a\1o\2a\2,>a1o2a3/PV,>a\1o\2a\2/PV,na,pos:verb asp:p vox:a mod:i,c-suff,,gem trans,^A([^wyA}&])([^ntwyA}&])\2$,66,
26,>a1o2a3,>a1a2~,1.2.3,\1.\2.\2,BACKOFF,[STEM-PV],>a1a2~,lex:>a1a2~,lex:>a\1a\2~,>a1a2~,>a\1a\2~,>a1a2~/PV,>a\1a\2~/PV,na,pos:verb asp:p vox:a mod:i,v-suff,,gem trans,^A([^wyA}&])([^ntwyA}&])$,66,
27,>a1o2a3,>a1o2a3,1.2.3,\1.\2.\3,BACKOFF,[STEM-PV],>a1o2a3,lex:>a1o2a3,lex:>a\1o\2a\3,>a1o2a3,>a\1o\2a\3,>a1o2a3/PV,>a\1o\2a\3/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^A([^wyA}&])([^wyA}&])([^ntwyA}&])$,471,
28,1a2~a3,>a2~a3,>.2.3,>.\1.\2,BACKOFF,[STEM-PV],>a2~a3,lex:>a2~a3,lex:>a\1~a\2,>a2~a3,>a\1~a\2,>a2~a3/PV,>a\1~a\2/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^A([^wyA}&])([^ntwyA}&])$,42,
29,1a2a3,>a2a3,>.2.3,>.\1.\2,BACKOFF,[STEM-PV],>a2a3,lex:>a2a3,lex:>a\1a\2,>a2a3,>a\1a\2,>a2a3/PV,>a\1a\2/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^A([^wyA}&])([^ntwyA}&])$,39,
30,>a1o2a3,>a1o2a>,1.2.>,\1.\2.>,BACKOFF,[STEM-PV],>a1o2,lex:>a1o2a>,lex:>a\1o\2a>,>a1o2,>a\1o\2,>a1o2/PV,>a\1o\2/PV,na,pos:verb asp:p vox:a mod:i,,,#-a> trans,^A([^wyA}&])([^wyA}&])$,17,
31,>a1o2a3,>a1o2aY,1.2.y,\1.\2.y,BACKOFF,[STEM-PV],>a1o2,lex:>a1o2aY,lex:>a\1o\2aY,>a1o2,>a\1o\2,>a1o2/PV,>a\1o\2/PV,na,pos:verb asp:p vox:a mod:i,,,#-ay trans,^A([^wyA}&])([^wyA}&])$,78,
32,>a1o2a3,>a1o2a3,1.2.n,\1.\2.n,BACKOFF,[STEM-PV],>a1o2a3,lex:>a1o2an,lex:>a\1o\2an,>a1o2an,>a\1o\2an,>a1o2an/PV,>a\1o\2an/PV,na,pos:verb asp:p vox:a mod:i,,,#n trans,^A([^wyA}&])([^wyA}&])n$,28,
33,>a1o2a3,>a1o2aY,1.2.w,\1.\2.w,BACKOFF,[STEM-PV],>a1o2,lex:>a1o2aY,lex:>a\1o\2aY,>a1o2,>a\1o\2,>a1o2/PV,>a\1o\2/PV,na,pos:verb asp:p vox:a mod:i,,,#-ay trans,^A([^wyA}&])([^wyA}&])$,25,
34,1a2~a3,>a2~a3,>.2.n,>.\1.n,BACKOFF,[STEM-PV],>a2~a3,lex:>a2~an,lex:>a\1~an,>a2~an,>a\1~an,>a2~an/PV,>a\1~an/PV,na,pos:verb asp:p vox:a mod:i,,,#n trans,^A([^wyA}&])n$,3,
35,1a2a3,>a2i3,>.2.3,>.\1.\2,BACKOFF,[STEM-PV],>a2i3,lex:>a2i3,lex:>a\1i\2,>a2i3,>a\1i\2,>a2i3/PV,>a\1i\2/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^A([^wyA}&])([^ntwyA}&])$,14,
36,>a1o2a3,>a1o2a3,1.2.t,\1.\2.t,BACKOFF,[STEM-PV],>a1o2a3,lex:>a1o2at,lex:>a\1o\2at,>a1o2at,>a\1o\2at,>a1o2at/PV,>a\1o\2at/PV,na,pos:verb asp:p vox:a mod:i,,,#t trans,^A([^wyA}&])([^wyA}&])t$,14,
37,1a2a3,>a2aY,>.2.y,>.\1.y,BACKOFF,[STEM-PV],>a2,lex:>a2aY,lex:>a\1aY,>a2,>a\1,>a2/PV,>a\1/PV,na,pos:verb asp:p vox:a mod:i,,,#-ay trans,^A([^wyA}&])$,3,
38,>a1o2a3,>a1o>a3,1.y.3,\1.y.\2,BACKOFF,[STEM-PV],>a1o>a3,lex:>a1o>a3,lex:>a\1o>a\2,>a1o>a3,>a\1o>a\2,>a1o>a3/PV,>a\1o>a\2/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^A([^wyA}&])A([^ntwyA}&])$,1,
39,>a1o2a3,>a1o>a3,1.w.3,\1.w.\2,BACKOFF,[STEM-PV],>a1o>a3,lex:>a1o>a3,lex:>a\1o>a\2,>a1o>a3,>a\1o>a\2,>a1o>a3/PV,>a\1o>a\2/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^A([^wyA}&])A([^ntwyA}&])$,4,
40,>a1o2a3,>a1owaY,1.w.y,\1.w.y,BACKOFF,[STEM-PV],>a1ow,lex:>a1owaY,lex:>a\1owaY,>a1ow,>a\1ow,>a1ow/PV,>a\1ow/PV,na,pos:verb asp:p vox:a mod:i,,,#-ay trans,^A([^wyA}&])w$,8,
41,>a1o2a3,>a1a2~,1.n.n,\1.n.n,BACKOFF,[STEM-PV],>a1a2~,lex:>a1an~,lex:>a\1an~,>a1an~,>a\1an~,>a1an~/PV,>a\1an~/PV,na,pos:verb asp:p vox:a mod:i,v-suff,,#n gem trans,^A([^wyA}&])n$,7,
42,>a1o2a3,>a1a2~,1.n.n,\1.n.n,BACKOFF,[STEM-PV],>a1o2a3,lex:>a1a2~,lex:>a\1a\2~,>a1o2an,>a\1o\2an,>a1o2an/PV,>a\1o\2an/PV,na,pos:verb asp:p vox:a mod:i,c-suff,,#n gem trans,^A([^wyA}&])([^wyA}&])n$,7,
43,1a2~a3,>a2~a3,w.2.3,w.\1.\2,BACKOFF,[STEM-PV],>a2~a3,lex:>a2~a3,lex:>a\1~a\2,>a2~a3,>a\1~a\2,>a2~a3/PV,>a\1~a\2/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^A([^wyA}&])([^ntwyA}&])$,1,
44,>a1o2a3,>a1owa3,1.w.3,\1.w.\2,BACKOFF,[STEM-PV],>a1owa3,lex:>a1owa3,lex:>a\1owa\2,>a1owa3,>a\1owa\2,>a1owa3/PV,>a\1owa\2/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^A([^wyA}&])w([^ntwyA}&])$,6,
45,>a1o2a3,>a1oyaY,1.y.y,\1.y.y,BACKOFF,[STEM-PV],>a1oy,lex:>a1oyaY,lex:>a\1oyaY,>a1oy,>a\1oy,>a1oy/PV,>a\1oy/PV,na,pos:verb asp:p vox:a mod:i,,,#-ay trans,^A([^wyA}&])y$,2,
46,1a2a3,>a2u3,>.2.3,>.\1.\2,BACKOFF,[STEM-PV],>a2u3,lex:>a2u3,lex:>a\1u\2,>a2u3,>a\1u\2,>a2u3/PV,>a\1u\2/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^A([^wyA}&])([^ntwyA}&])$,3,
47,1a2~a3,>a2~aY,>.2.y,>.\1.y,BACKOFF,[STEM-PV],>a2~,lex:>a2~aY,lex:>a\1~aY,>a2~,>a\1~,>a2~/PV,>a\1~/PV,na,pos:verb asp:p vox:a mod:i,,,#-ay trans,^A([^wyA}&])$,2,
48,1a2a3,>a2i3,>.2.n,>.\1.n,BACKOFF,[STEM-PV],>a2i3,lex:>a2in,lex:>a\1in,>a2in,>a\1in,>a2in/PV,>a\1in/PV,na,pos:verb asp:p vox:a mod:i,,,#n trans,^A([^wyA}&])n$,4,
49,1a2a3,>a2iy,>.2.y,>.\1.y,BACKOFF,[STEM-PV],>a2,lex:>a2iy,lex:>a\1iy,>a2,>a\1,>a2/PV,>a\1/PV,na,pos:verb asp:p vox:a mod:i,,,#-iy trans,^A([^wyA}&])$,2,
50,>a1o2a3,>a1o>aY,1.>.y,\1.>.y,BACKOFF,[STEM-PV],>a1o>,lex:>a1o>aY,lex:>a\1o>aY,>a1o>,>a\1o>,>a1o>/PV,>a\1o>/PV,na,pos:verb asp:p vox:a mod:i,,,#-ay trans,^A([^wyA}&])A$,2,
51,>a1o2a3,>a1o>a3,1.>.3,\1.>.\2,BACKOFF,[STEM-PV],>a1o>a3,lex:>a1o>a3,lex:>a\1o>a\2,>a1o>a3,>a\1o>a\2,>a1o>a3/PV,>a\1o>a\2/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^A([^wyA}&])A([^ntwyA}&])$,2,
52,1a2a3,>a2A,>.2.w,>.\1.w,BACKOFF,[STEM-PV],>a2,lex:>a2A,lex:>a\1A,>a2,>a\1,>a2/PV,>a\1/PV,na,pos:verb asp:p vox:a mod:i,,,#-aw trans,^A([^wyA}&])$,2,
53,>a1o2a3,>a1a2~,1.t.t,\1.t.t,BACKOFF,[STEM-PV],>a1o2a3,lex:>a1a2~,lex:>a\1a\2~,>a1o2at,>a\1o\2at,>a1o2at/PV,>a\1o\2at/PV,na,pos:verb asp:p vox:a mod:i,c-suff,,#t gem trans,^A([^wyA}&])([^wyA}&])t$,1,
54,>a1o2a3,>a1a2~,1.t.t,\1.t.t,BACKOFF,[STEM-PV],>a1a2~,lex:>a1at~,lex:>a\1at~,>a1at~,>a\1at~,>a1at~/PV,>a\1at~/PV,na,pos:verb asp:p vox:a mod:i,v-suff,,#t gem trans,^A([^wyA}&])t$,1,
55,>a1o2a3,>a1o2a>,1.2.y,\1.\2.y,BACKOFF,[STEM-PV],>a1o2,lex:>a1o2a>,lex:>a\1o\2a>,>a1o2,>a\1o\2,>a1o2/PV,>a\1o\2/PV,na,pos:verb asp:p vox:a mod:i,,,#-a> trans,^A([^wyA}&])([^wyA}&])$,2,
56,>a1o2a3,>a1A3,1.w.n,\1.w.n,BACKOFF,[STEM-PV],>a1A3,lex:>a1An,lex:>a\1An,>a1An,>a\1An,>a1An/PV,>a\1An/PV,na,pos:verb asp:p vox:a mod:i,v-suff,,#n trans,^A([^wyA}&])An$,2,
57,>a1o2a3,>a1A3,1.w.n,\1.w.n,BACKOFF,[STEM-PV],>a1a3,lex:>a1An,lex:>a\1An,>a1an,>a\1an,>a1an/PV,>a\1an/PV,na,pos:verb asp:p vox:a mod:i,c-suff,,#n trans,^A([^wyA}&])n$,2,
58,>a1o2a3,>a1oya3,1.y.3,\1.y.\2,BACKOFF,[STEM-PV],>a1oya3,lex:>a1oya3,lex:>a\1oya\2,>a1oya3,>a\1oya\2,>a1oya3/PV,>a\1oya\2/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^A([^wyA}&])y([^ntwyA}&])$,1,
59,>a1o2a3,>a1A',1.y.>,\1.y.>,BACKOFF,[STEM-PV],>a1,lex:>a1A',lex:>a\1A',>a1,>a\1,>a1/PV,>a\1/PV,na,pos:verb asp:p vox:a mod:i,,,#-A' trans,^A([^wyA}&])$,1,
60,1a2o3a4,>a2o3a4,>.2.3.4,>.\1.\2.\3,BACKOFF,[STEM-PV],>a2o3a4,lex:>a2o3a4,lex:>a\1o\2a\3,>a2o3a4,>a\1o\2a\3,>a2o3a4/PV,>a\1o\2a\3/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^A([^wyA}&])([^wyA}&])([^ntwyA}&])$,5,
61,>a1o2a3,>a1A3,1.w.t,\1.w.t,BACKOFF,[STEM-PV],>a1A3,lex:>a1At,lex:>a\1At,>a1At,>a\1At,>a1At/PV,>a\1At/PV,na,pos:verb asp:p vox:a mod:i,v-suff,,#t trans,^A([^wyA}&])At$,2,
