CLASS	Lemma	Stem	POS	MS	MD	MP	FS	FD	FP	Suffixes	QC	COMMENTS	Definition
#iy	أَرض	أَراض	NOUN	أَراضِي / أَراضِيه (mp)	-	-	-	-	-	X+iy / X+iyu#h|||X+iyayon / X+iyayonu#h||||||||||||X+iyAt / X+iyAtu#h	OK		
#iy	أُغنِيَة	أَغان	NOUN	أَغانِي / أَغانِيه (fp)	-	-	-	-	-	X+iy / X+iyu#h|||X+iyayon / X+iyayonu#h||||||||||||X+iyAt / X+iyAtu#h	OK		
#iy	مَطافِي	مَطاف	NOUN	مَطافِي / مَطافِيه (ms)	مَطافِيَيْن / مَطافِيَيْنُه (md)	-	-	-	-	X+iy / X+iyu#h|||X+iyayon / X+iyayonu#h||||||||||||X+iyAt / X+iyAtu#h	OK		
#iy	دِلوَقتِي	دِلوَقت	NOUN	دِلوَقتِي / دِلوَقتِيه (ms)	-	-	-	-	-	X+iy / X+iyu#h|||X+iyayon / X+iyayonu#h||||||||||||X+iyAt / X+iyAtu#h	PROB		
#iy	سِي	س	NOUN	سِي / سِيه (ms)	-	-	-	-	-	X+iy / X+iyu#h|||X+iyayon / X+iyayonu#h||||||||||||X+iyAt / X+iyAtu#h	PROB		
#iy	خالِي	خَوال	ADJ	خَوالِي / خَوالِيه (mp)	-	-	-	-	-	X+iy / X+iyu#h|||X+iyayon / X+iyayonu#h||||||||||||X+iyAt / X+iyAtu#h	OK		
#iy	شِي	اِش	NOUN	اِشِي / اِشِيه (ms)	اِشِيَيْن / اِشِيَيْنُه (md)	-	-	-	اِشِيات / اِشِياتُه (mp)	X+iy / X+iyu#h|||X+iyayon / X+iyayonu#h||||||||||||X+iyAt / X+iyAtu#h	OK		
-	آن	آن	NOUN	آن / آنُه (ms)	آنَيْن / آنَيْنُه (md)	-	-	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	PROB		
-	أَنَّة	أَنّ	NOUN	-	-	-	أَنَّة / أَنِّتُه (fs)	أَنِّتَيْن / أَنِّتَيْنُه (fd)	أَنّات / أَنّاتُه (fp)	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK		
-	مُصِرّ	مُصِرّ	ADJ	مُصِرّ / مُصِرُّه (ms)	مُصِرَّيْن / مُصِرَّيْنُه (md)	مُصِرِّين / مُصِرِّينُه (mp)	مُصِرَّة / مُصِرِّتُه (fs)	مُصِرِّتَيْن / مُصِرِّتَيْنُه (fd)	مُصِرّات / مُصِرّاتُه (fp)	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK	CLITICS DON'T MATCH	
