,LINE,PATTERN_ABSTRACT,ROOT,DEFINE,CLASS,LEMMA,FORM,BW,GLOSS,FEAT,COND-T,COND-S,COMMENTS,STATUS
0,1,{isota1o2a3,*.>.b,LEXICON,[STEM-PV],{isota*o>ab,{isota*o>ab,PV,be_wolflike;be_lupine,pos:verb asp:p vox:a mod:i,,intrans,,
1,2,{isota1o2a3,*.>.b,LEXICON,[STEM-PV],{isota*o>ab,{usotu*o}ib,PV_PASS,be_wolflike;be_lupine,pos:verb asp:p vox:p mod:i,,intrans,,
2,3,1a2o3a4,*.b.*.b,LEXICON,[STEM-PV],*abo*ab,*abo*ab,PV,swing;dangle,pos:verb asp:p vox:a mod:i,,trans,,
3,4,ta1a2o3a4,*.b.*.b,LEXICON,[STEM-PV],ta*abo*ab,ta*abo*ab,PV,oscillate;fluctuate;waver,pos:verb asp:p vox:a mod:i,,trans,,
4,5,1a2o3a4,*.b.*.b,LEXICON,[STEM-PV],*abo*ab,*ubo*ib,PV_PASS,swing;dangle,pos:verb asp:p vox:p mod:i,,intrans,,
5,6,ta1a2o3a4,*.b.*.b,LEXICON,[STEM-PV],ta*abo*ab,tu*ubo*ib,PV_PASS,oscillate;fluctuate;waver,pos:verb asp:p vox:p mod:i,,intrans,,
6,7,1a2a3,*.b.b,LEXICON,[STEM-PV],*ab~-u,*ab~,PV,drive_away;defend,pos:verb asp:p vox:a mod:i,v-suff,gem trans,,
7,8,1a2a3,*.b.b,LEXICON,[STEM-PV],*ab~-u,*abab,PV,drive_away;defend,pos:verb asp:p vox:a mod:i,c-suff,gem trans,,
8,9,1a2a3,*.b.b,LEXICON,[STEM-PV],*ab~-u,*ub~,PV_PASS,drive_away;defend,pos:verb asp:p vox:p mod:i,v-suff,gem intrans,,
9,10,1a2a3,*.b.b,LEXICON,[STEM-PV],*ab~-u,*ubib,PV_PASS,drive_away;defend,pos:verb asp:p vox:p mod:i,c-suff,gem intrans,,
10,11,1a2~a3,*.b.H,LEXICON,[STEM-PV],*ab~aH,*ab~aH,PV,slaughter;massacre;sacrifice,pos:verb asp:p vox:a mod:i,,trans,,
11,12,1a2a3,*.b.H,LEXICON,[STEM-PV],*abaH-a,*abaH,PV,slaughter;massacre;sacrifice,pos:verb asp:p vox:a mod:i,,trans,,
12,13,1a2~a3,*.b.H,LEXICON,[STEM-PV],*ab~aH,*ub~iH,PV_PASS,slaughter;massacre;sacrifice,pos:verb asp:p vox:p mod:i,,intrans,,
13,14,1a2a3,*.b.H,LEXICON,[STEM-PV],*abaH-a,*ubiH,PV_PASS,slaughter;massacre;sacrifice,pos:verb asp:p vox:p mod:i,,intrans,,
14,15,1a2a3,*.b.l,LEXICON,[STEM-PV],*abal-u,*abal,PV,wilt;fade;waste_away,pos:verb asp:p vox:a mod:i,,trans,,
15,16,1a2a3,*.b.l,LEXICON,[STEM-PV],*abul-u,*abul,PV,wilt;fade;waste_away,pos:verb asp:p vox:a mod:i,,trans,,
16,17,1a2a3,*.b.l,LEXICON,[STEM-PV],*abal-u,*ubil,PV_PASS,wilt;fade;waste_away,pos:verb asp:p vox:p mod:i,,intrans,,
17,18,1a2a3,*.b.l,LEXICON,[STEM-PV],*abul-u,*ubil,PV_PASS,wilt;fade;waste_away,pos:verb asp:p vox:p mod:i,,intrans,,
18,19,1a2a3,*.E.n,LEXICON,[STEM-PV],*aEin-a,*aEin,PV,submit;yield;obey,pos:verb asp:p vox:a mod:i,,#n trans,,
19,20,>a1o2a3,*.E.n,LEXICON,[STEM-PV],>a*oEan,>a*oEan,PV,submit;yield;obey,pos:verb asp:p vox:a mod:i,,#n trans,,
20,21,1a2a3,*.E.n,LEXICON,[STEM-PV],*aEin-a,*uEin,PV_PASS,submit;yield;obey,pos:verb asp:p vox:p mod:i,,#n intrans,,
21,22,>a1o2a3,*.E.n,LEXICON,[STEM-PV],>a*oEan,>u*oEin,PV_PASS,submit;yield;obey,pos:verb asp:p vox:p mod:i,,#n intrans,,
22,23,1a2a3,*.E.q,LEXICON,[STEM-PV],*aEaq-a,*aEaq,PV,frighten;startle,pos:verb asp:p vox:a mod:i,,trans,,
23,24,1a2a3,*.E.q,LEXICON,[STEM-PV],*aEaq-a,*uEiq,PV_PASS,frighten;startle,pos:verb asp:p vox:p mod:i,,intrans,,
24,25,{ino1a2a3,*.E.r,LEXICON,[STEM-PV],{ino*aEar,{ino*aEar,PV,panic,pos:verb asp:p vox:a mod:i,,trans,,
25,26,1a2a3,*.E.r,LEXICON,[STEM-PV],*aEar-a,*aEar,PV,frighten,pos:verb asp:p vox:a mod:i,,trans,,
26,27,1a2a3,*.E.r,LEXICON,[STEM-PV],*aEir-a,*aEir,PV,be_frightened,pos:verb asp:p vox:a mod:i,,intrans,,
27,28,>a1o2a3,*.E.r,LEXICON,[STEM-PV],>a*oEar,>a*oEar,PV,frighten,pos:verb asp:p vox:a mod:i,,trans,,
28,29,ta1a2~3,*.E.r,LEXICON,[STEM-PV],ta*aE~ar,ta*aE~ar,PV,panic,pos:verb asp:p vox:a mod:i,,trans,,
29,30,{ino1a2a3,*.E.r,LEXICON,[STEM-PV],{ino*aEar,{uno*uEir,PV_PASS,panic,pos:verb asp:p vox:p mod:i,,intrans,,
30,31,1a2a3,*.E.r,LEXICON,[STEM-PV],*aEar-a,*uEir,PV_PASS,frighten,pos:verb asp:p vox:p mod:i,,intrans,,
31,32,1a2a3,*.E.r,LEXICON,[STEM-PV],*aEir-a,*uEir,PV_PASS,be_frightened,pos:verb asp:p vox:p mod:i,,intrans,,
32,33,>a1o2a3,*.E.r,LEXICON,[STEM-PV],>a*oEar,>u*oEir,PV_PASS,frighten,pos:verb asp:p vox:p mod:i,,intrans,,
33,34,ta1a2~3,*.E.r,LEXICON,[STEM-PV],ta*aE~ar,tu*uE~ir,PV_PASS,panic,pos:verb asp:p vox:p mod:i,,intrans,,
34,35,1a2~a3,*.h.b,LEXICON,[STEM-PV],*ah~ab,*ah~ab,PV,gild,pos:verb asp:p vox:a mod:i,,trans,,
35,36,1a2a3,*.h.b,LEXICON,[STEM-PV],*ahab-a,*ahab,PV,go;depart;take_(with),pos:verb asp:p vox:a mod:i,,trans,,
36,37,>a1o2a3,*.h.b,LEXICON,[STEM-PV],>a*ohab,>a*ohab,PV,remove;eliminate,pos:verb asp:p vox:a mod:i,,trans,,
37,38,1a2~a3,*.h.b,LEXICON,[STEM-PV],*ah~ab,*uh~ib,PV_PASS,gild,pos:verb asp:p vox:p mod:i,,intrans,,
38,39,1a2a3,*.h.b,LEXICON,[STEM-PV],*ahab-a,*uhib,PV_PASS,go;depart;take_(with),pos:verb asp:p vox:p mod:i,,intrans,,
39,40,>a1o2a3,*.h.b,LEXICON,[STEM-PV],>a*ohab,>u*ohib,PV_PASS,remove;eliminate,pos:verb asp:p vox:p mod:i,,intrans,,
40,41,{ino1a2a3,*.h.l,LEXICON,[STEM-PV],{ino*ahal,{ino*ahal,PV,be_stunned;be_dazed;overlook,pos:verb asp:p vox:a mod:i,,intrans,,
41,42,1a2a3,*.h.l,LEXICON,[STEM-PV],*ahal-a,*ahal,PV,be_stunned;be_dazed;overlook,pos:verb asp:p vox:a mod:i,,intrans,,
42,43,>a1o2a3,*.h.l,LEXICON,[STEM-PV],>a*ohal,>a*ohal,PV,baffle;distract,pos:verb asp:p vox:a mod:i,,trans,,
43,44,ta1A2a3,*.h.l,LEXICON,[STEM-PV],ta*Ahal,ta*Ahal,PV,feign_forgetfulness,pos:verb asp:p vox:a mod:i,,trans,,
44,45,{ino1a2a3,*.h.l,LEXICON,[STEM-PV],{ino*ahal,{uno*uhil,PV_PASS,be_stunned;be_dazed;overlook,pos:verb asp:p vox:p mod:i,,intrans,,
45,46,1a2a3,*.h.l,LEXICON,[STEM-PV],*ahal-a,*uhil,PV_PASS,be_stunned;be_dazed;overlook,pos:verb asp:p vox:p mod:i,,intrans,,
46,47,>a1o2a3,*.h.l,LEXICON,[STEM-PV],>a*ohal,>u*ohil,PV_PASS,baffle;distract,pos:verb asp:p vox:p mod:i,,intrans,,
47,48,ta1A2a3,*.h.l,LEXICON,[STEM-PV],ta*Ahal,tu*uwhil,PV_PASS,feign_forgetfulness,pos:verb asp:p vox:p mod:i,,intrans,,
48,49,{isota1o2a3,*.k.r,LEXICON,[STEM-PV],{isota*okar,{isota*okar,PV,memorize;recall,pos:verb asp:p vox:a mod:i,,trans,,
49,50,1a2~a3,*.k.r,LEXICON,[STEM-PV],*ak~ar,*ak~ar,PV,remind,pos:verb asp:p vox:a mod:i,,trans,,
50,51,1A2a3,*.k.r,LEXICON,[STEM-PV],*Akar,*Akar,PV,negotiate,pos:verb asp:p vox:a mod:i,,trans,,
51,52,1a2a3,*.k.r,LEXICON,[STEM-PV],*akar-u,*akar,PV,mention;cite;remember,pos:verb asp:p vox:a mod:i,,trans,,
52,53,>a1o2a3,*.k.r,LEXICON,[STEM-PV],>a*okar,>a*okar,PV,remind,pos:verb asp:p vox:a mod:i,,trans,,
53,54,ta1a2~3,*.k.r,LEXICON,[STEM-PV],ta*ak~ar,ta*ak~ar,PV,remember,pos:verb asp:p vox:a mod:i,,trans,,
54,55,ta1A2a3,*.k.r,LEXICON,[STEM-PV],ta*Akar,ta*Akar,PV,remind_mutually;confer,pos:verb asp:p vox:a mod:i,,trans,,
55,56,{isota1o2a3,*.k.r,LEXICON,[STEM-PV],{isota*okar,{usotu*okir,PV_PASS,memorize;recall,pos:verb asp:p vox:p mod:i,,intrans,,
56,57,1a2~a3,*.k.r,LEXICON,[STEM-PV],*ak~ar,*uk~ir,PV_PASS,remind,pos:verb asp:p vox:p mod:i,,intrans,,
57,58,1A2a3,*.k.r,LEXICON,[STEM-PV],*Akar,*uwkir,PV_PASS,negotiate,pos:verb asp:p vox:p mod:i,,intrans,,
58,59,1a2a3,*.k.r,LEXICON,[STEM-PV],*akar-u,*ukir,PV_PASS,mention;cite;remember,pos:verb asp:p vox:p mod:i,,intrans,,
